protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,47.91.109.17,9200,United Arab Emirates,AE,Dubai,elite,true,1.13,AS45102,Alibaba Cloud LLC,5151.85,1781885948.2772863
socks4,47.91.109.17,1337,United Arab Emirates,AE,Dubai,elite,true,0.78,AS45102,Alibaba Cloud LLC,6311.82,1781885947.6697588
http,47.91.110.148,9090,United Arab Emirates,AE,Dubai,elite,false,1.14,AS45102,Alibaba Cloud LLC,2259.14,1781885946.3817568
http,47.91.110.148,4433,United Arab Emirates,AE,Dubai,elite,false,0.83,AS45102,Alibaba Cloud LLC,2350.9,1781885945.0878904
socks5,47.91.110.148,1000,United Arab Emirates,AE,Dubai,elite,true,1.81,AS45102,Alibaba Cloud LLC,9307.75,1781885940.698002
http,47.91.110.148,8443,United Arab Emirates,AE,Dubai,elite,false,0.99,AS45102,Alibaba Cloud LLC,9372.06,1781885937.3331559
socks5,47.91.110.148,69,United Arab Emirates,AE,Dubai,elite,true,1.8,AS45102,Alibaba Cloud LLC,13535.03,1781885936.2440023
socks5,47.91.110.148,5060,United Arab Emirates,AE,Dubai,elite,true,1.74,AS45102,Alibaba Cloud LLC,13475.41,1781885935.610913
http,47.91.104.88,3128,United Arab Emirates,AE,Dubai,elite,true,79.3,AS45102,Alibaba Cloud LLC,2983.67,1781885915.3309925
socks5,74.162.65.56,1080,United Arab Emirates,AE,Dubai,elite,true,100.0,AS8075,Microsoft Corporation,594.94,1781885885.8315697
http,37.202.222.37,3128,United Arab Emirates,AE,Dubai,transparent,true,71.18,AS21859,Zenlayer Inc,7770.77,1781885879.9956787
socks5,129.151.128.225,1080,United Arab Emirates,AE,Masdar City,elite,true,56.24,AS31898,Oracle Corporation,2783.75,1781885862.9006202
http,91.73.223.206,3128,United Arab Emirates,AE,Dubai,elite,true,74.19,AS15802,Emirates Integrated Telecommunications Company PJSC,5715.22,1781885844.2152781
socks5,47.91.121.127,999,United Arab Emirates,AE,Dubai,elite,true,1.76,AS45102,Alibaba Cloud LLC,7007.08,1781885840.2891636
socks5,47.91.109.17,123,United Arab Emirates,AE,Dubai,elite,true,1.61,AS45102,Alibaba Cloud LLC,6917.32,1781885831.9871469
