protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,217.60.33.157,1080,United Arab Emirates,AE,Abu Dhabi,elite,true,50.0,AS197574,GoldIPv,114.79,1783232972.7226937
http,217.60.33.157,80,United Arab Emirates,AE,Abu Dhabi,elite,true,23.49,AS197574,GoldIPv,123.6,1783232963.04239
http,217.60.33.157,8080,United Arab Emirates,AE,Abu Dhabi,elite,true,31.19,AS197574,GoldIPv,131.08,1783232959.8905072
http,47.91.121.127,1111,United Arab Emirates,AE,Dubai,elite,false,0.99,AS45102,Alibaba Cloud LLC,2268.51,1783232953.959817
http,47.91.121.127,8008,United Arab Emirates,AE,Dubai,elite,false,0.69,AS45102,Alibaba Cloud LLC,9545.14,1783232948.2501266
http,47.91.120.190,2021,United Arab Emirates,AE,Dubai,elite,false,1.02,AS45102,Alibaba Cloud LLC,2230.24,1783232929.5666392
http,47.91.120.190,8081,United Arab Emirates,AE,Dubai,elite,true,1.03,AS45102,Alibaba Cloud LLC,9474.83,1783232913.4911368
http,47.91.109.17,1081,United Arab Emirates,AE,Dubai,elite,false,0.79,AS45102,Alibaba Cloud LLC,2233.59,1783232906.2137487
http,47.91.109.17,5060,United Arab Emirates,AE,Dubai,elite,false,0.87,AS45102,Alibaba Cloud LLC,9460.5,1783232896.3559253
http,47.91.104.88,3128,United Arab Emirates,AE,Dubai,elite,true,79.7,AS45102,Alibaba Cloud LLC,5365.17,1783232833.279513
http,91.73.223.206,3128,United Arab Emirates,AE,Dubai,elite,false,70.04,AS15802,Emirates Integrated Telecommunications Company PJSC,14297.18,1783232964.056906
http,94.202.58.154,8080,United Arab Emirates,AE,Dubai,elite,false,28.99,AS15802,Emirates Integrated Telecommunications Company PJSC,2700.01,1783232962.7776046
