protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.91.120.190,1234,United Arab Emirates,AE,Dubai,elite,true,1.66,AS45102,Alibaba Cloud LLC,6274.67,1783985944.9998362
socks5,47.91.120.190,3128,United Arab Emirates,AE,Dubai,elite,true,1.7,AS45102,Alibaba Cloud LLC,6267.29,1783985930.6065428
socks5,47.91.120.190,8888,United Arab Emirates,AE,Dubai,elite,true,1.62,AS45102,Alibaba Cloud LLC,7310.87,1783985923.70143
socks5,47.91.109.17,8181,United Arab Emirates,AE,Dubai,elite,true,1.3,AS45102,Alibaba Cloud LLC,6284.05,1783985887.734106
socks5,47.91.109.17,3129,United Arab Emirates,AE,Dubai,elite,true,1.43,AS45102,Alibaba Cloud LLC,6285.51,1783985877.5164683
socks5,74.162.65.56,1080,United Arab Emirates,AE,Dubai,elite,true,97.37,AS8075,Microsoft Corporation,967.86,1783985872.8114967
socks5,47.91.109.17,1000,United Arab Emirates,AE,Dubai,elite,true,1.45,AS45102,Alibaba Cloud LLC,13527.16,1783985871.0410035
socks5,47.91.115.179,8081,United Arab Emirates,AE,Dubai,elite,true,1.56,AS45102,Alibaba Cloud LLC,6267.44,1783985762.4105504
socks5,47.91.115.179,9098,United Arab Emirates,AE,Dubai,elite,true,1.48,AS45102,Alibaba Cloud LLC,9316.4,1783985759.4194736
socks5,47.91.115.179,9080,United Arab Emirates,AE,Dubai,elite,true,1.54,AS45102,Alibaba Cloud LLC,9316.27,1783985759.395147
