protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,83.5,AS215540,Global Connectivity Solutions LLP,68.44,1783969169.8172927
socks4,185.190.90.2,4145,Albania,AL,Rrashbull,elite,true,14.3,AS212637,Lightnet Sh.p.k.,1183.0,1783969168.429407
socks4,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,72.83,AS215540,Global Connectivity Solutions LLP,4176.54,1783969160.7817724
socks4,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,81.56,AS215540,Global Connectivity Solutions LLP,6207.42,1783969160.2354312
socks4,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,73.7,AS215540,Global Connectivity Solutions LLP,3143.29,1783969159.973294
socks5,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,63.81,AS215540,Global Connectivity Solutions LLP,3145.84,1783969101.076204
http,78.159.131.131,1081,Albania,AL,Elbasan,elite,false,81.14,AS215540,Global Connectivity Solutions LLP,2146.15,1783969082.7432466
http,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,67.75,AS215540,Global Connectivity Solutions LLP,3110.4,1783969079.873892
socks5,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,78.98,AS215540,Global Connectivity Solutions LLP,3107.22,1783969016.2439322
socks5,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,78.66,AS215540,Global Connectivity Solutions LLP,7690.84,1783968994.550692
