protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.159.131.112,1081,Albania,AL,Elbasan,elite,true,84.0,AS215540,Global Connectivity Solutions LLP,68.03,1783907928.7789934
http,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,88.74,AS215540,Global Connectivity Solutions LLP,131.16,1783907917.5138607
http,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,83.74,AS215540,Global Connectivity Solutions LLP,7222.51,1783907907.124511
http,78.159.131.112,1082,Albania,AL,Elbasan,elite,true,88.41,AS215540,Global Connectivity Solutions LLP,7266.38,1783907905.9005194
http,79.106.108.156,8079,Albania,AL,Tepelenë,transparent,false,7.54,AS42313,ONE ALBANIA SH.A.,13457.29,1783907904.901292
http,79.106.108.147,8079,Albania,AL,Tepelenë,transparent,false,11.09,AS42313,ONE ALBANIA SH.A.,1587.25,1783907903.1305668
http,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,86.11,AS215540,Global Connectivity Solutions LLP,6258.57,1783907897.4729028
http,79.106.33.26,8079,Albania,AL,Tirana,transparent,true,7.95,AS42313,ONE ALBANIA SH.A.,10156.83,1783907881.9394286
http,78.159.131.131,1081,Albania,AL,Elbasan,elite,false,84.51,AS215540,Global Connectivity Solutions LLP,4211.71,1783907871.002814
http,79.106.165.246,8989,Albania,AL,Tirana,transparent,false,12.31,AS42313,ONE ALBANIA SH.A.,4003.63,1783907838.984513
http,66.186.199.33,8080,Albania,AL,Tirana,transparent,true,24.23,AS21183,Vodafone Albania Sh.A.,2190.33,1783907997.0812688
