protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,77.91.68.17,445,Armenia,AM,Yerevan,elite,true,46.2,AS198178,Altawk Hosting,320.83,1783206598.904549
socks4,185.215.53.193,3629,Armenia,AM,Yerevan,elite,true,4.4,AS205368,Fnet LLC,370.63,1783206593.8335116
socks4,130.193.123.34,5678,Armenia,AM,Yerevan,elite,true,21.87,AS49800,GNC,1310.6,1783206575.5462282
http,5.77.252.202,8080,Armenia,AM,Yerevan,transparent,true,14.9,AS44395,Ucom Mobile Network,6653.55,1783206549.60285
http,91.103.248.58,3128,Armenia,AM,Yerevan,elite,true,38.73,AS201884,ISP SUPPORT LLC,8166.42,1783206518.0644503
socks5,77.91.68.17,445,Armenia,AM,Yerevan,elite,true,44.86,AS198178,Altawk Hosting,502.78,1783206469.6371517
socks5,2.56.204.180,1080,Armenia,AM,Arinj,elite,true,88.08,AS216058,Proitlab LLC,284.19,1783206596.6572757
http,2.56.204.180,1080,Armenia,AM,Arinj,elite,true,84.51,AS216058,Proitlab LLC,734.11,1783206590.5221686
socks4,2.56.204.180,1080,Armenia,AM,Arinj,elite,true,91.92,AS216058,Proitlab LLC,656.78,1783206588.9835114
socks5,45.142.195.110,995,Armenia,AM,Yerevan,elite,true,35.21,AS215929,Data Campus Limited,8619.74,1783206511.5606372
