protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.122.88.121,1080,Argentina,AR,Buenos Aires,elite,true,25.5,AS27988,Servicios y Telecomunicaciones S.A,1068.22,1781895556.7869487
socks4,190.228.33.42,1085,Argentina,AR,San Salvador de Jujuy,elite,true,27.79,AS7303,Telecom Argentina S.A.,2263.47,1781895547.8412352
socks4,181.15.154.154,52033,Argentina,AR,Posadas,elite,true,9.9,AS7303,Telecom Argentina S.A,8429.16,1781895536.0339737
http,186.125.6.241,8080,Argentina,AR,Córdoba,elite,true,30.14,AS7303,Telecom Argentina S.A.,5512.94,1781895533.4209833
http,198.12.37.29,8080,Argentina,AR,Resistencia,transparent,true,20.05,AS27988,Servicios y Telecomunicaciones S.A,10765.11,1781895523.5938761
http,181.209.125.236,999,Argentina,AR,Yuto,transparent,false,7.5,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,4120.43,1781895521.8020768
http,138.117.13.2,999,Argentina,AR,28 de Noviembre,transparent,false,13.85,AS272964,Tamayo Magda Judith,6232.16,1781895520.386347
http,138.121.114.142,999,Argentina,AR,Formosa,transparent,false,7.3,AS263791,Refsa Telecomunicaciones,11019.17,1781895516.533376
http,181.209.111.148,999,Argentina,AR,Benavídez,transparent,true,3.27,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,11972.32,1781895505.6693957
http,201.190.178.191,8080,Argentina,AR,Mendoza,transparent,true,34.74,AS28075,Arlink S.A.,8843.93,1781895503.429638
http,181.209.96.154,999,Argentina,AR,Yuto,transparent,false,21.75,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,7929.61,1781895485.3521693
http,181.209.111.149,999,Argentina,AR,Benavídez,transparent,false,3.13,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,12269.39,1781895480.5339751
http,45.172.142.38,999,Argentina,AR,Junin,transparent,false,15.52,AS264800,Techtron Argentina S.A.,3715.89,1781895462.4008708
http,200.59.10.38,999,Argentina,AR,Ricardo Rojas,transparent,false,10.35,AS12150,COTELCAM,3957.18,1781895439.5880048
http,181.209.125.189,999,Argentina,AR,Benavídez,transparent,false,4.58,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,11169.53,1781895419.176871
http,181.13.221.155,999,Argentina,AR,San Pedro de Jujuy,transparent,true,16.2,AS7303,Telecom Argentina S.A.,3556.51,1781895394.979893
http,179.43.103.97,8080,Argentina,AR,Belen de Escobar,transparent,false,16.49,AS263194,Advantun SRL,5810.67,1781895393.0954673
