protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,191.102.254.70,8085,Argentina,AR,Rosario,transparent,false,23.66,AS262934,IP·RED,2783.63,1783938864.4657693
http,191.97.96.208,8080,Argentina,AR,General Roca,transparent,false,5.6,AS263213,Vision NET,11989.77,1783938827.3258104
http,190.225.182.3,999,Argentina,AR,Paso de los Libres,transparent,false,17.67,AS7303,Telecom Argentina S.A.,7874.59,1783938820.7402713
http,181.168.144.56,8080,Argentina,AR,Punta Alta,elite,true,45.63,AS7303,Telecom Argentina S.A,980.55,1783938812.9364436
http,181.209.122.114,999,Argentina,AR,Benavídez,transparent,false,6.95,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,10408.81,1783938798.8951044
http,181.80.212.106,999,Argentina,AR,Catamarca,transparent,false,32.38,AS7303,Telecom Argentina S.A.,10458.67,1783938797.737396
http,190.7.24.103,3129,Argentina,AR,Paraná,transparent,true,31.56,AS20207,Gigared S.A.,8158.76,1783938776.890427
http,138.117.14.238,8090,Argentina,AR,San Miguel de Tucumán,transparent,false,19.24,AS265798,Level Seven SRL,6433.51,1783938753.4951775
http,200.70.35.2,8080,Argentina,AR,Lomas de Zamora,transparent,true,30.77,AS10834,Telefonica de Argentina,4830.96,1783938748.7629397
http,138.121.114.54,8080,Argentina,AR,Formosa,transparent,false,25.42,AS263791,Refsa Telecomunicaciones,5152.02,1783938722.4265933
