protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.65.225.17,999,Argentina,AR,Caseros,transparent,true,20.98,AS266725,Solution LAN S.A,8205.77,1783909746.8602967
http,138.117.14.250,8090,Argentina,AR,San Miguel de Tucumán,transparent,true,7.15,AS265798,Level Seven SRL,6512.6,1783909719.2841911
http,190.7.24.103,3129,Argentina,AR,Paraná,transparent,true,30.99,AS20207,Gigared S.A.,12196.49,1783909711.564236
http,191.97.96.86,8080,Argentina,AR,General Roca,transparent,true,5.47,AS263213,Vision NET,5821.2,1783909709.7839441
http,181.209.124.10,999,Argentina,AR,Benavídez,transparent,true,5.26,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,10106.75,1783909697.9123666
http,181.10.138.226,8083,Argentina,AR,La Rioja,transparent,true,12.3,AS7303,Telecom Argentina S.A.,3833.81,1783909692.3519614
http,45.232.0.129,8080,Argentina,AR,San Miguel de Tucumán,transparent,true,67.17,AS266754,Fuensalida Sergio Andres,3925.33,1783909687.1574297
http,191.102.254.70,8085,Argentina,AR,Rosario,transparent,true,23.6,AS262934,IP·RED,6205.16,1783909680.2198758
http,200.114.81.33,8080,Argentina,AR,Corrientes,transparent,true,25.93,AS273088,SIGOT ALEXIS RAUL (SPEED INTERNET),815.36,1783909799.8300116
http,181.209.115.98,999,Argentina,AR,Benavídez,transparent,true,25.5,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,1944.36,1783909755.6397355
