protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,200.16.211.74,4153,Argentina,AR,Luján,elite,true,50.07,AS10834,Telefonica de Argentina,4181.78,1783884854.9416006
socks4,186.138.177.33,4145,Argentina,AR,Córdoba,elite,true,48.86,AS7303,Telecom Argentina S.A,8474.59,1783884852.108001
socks4,190.228.33.42,1085,Argentina,AR,San Salvador de Jujuy,elite,true,28.81,AS7303,Telecom Argentina S.A.,4329.26,1783884842.8062797
socks4,190.182.137.250,1085,Argentina,AR,Miguel Riglos,elite,true,51.33,AS27983,Red Intercable Digital S.A,4360.33,1783884828.489172
socks4,190.103.147.251,1085,Argentina,AR,Carlos Casares,elite,true,8.16,AS270060,Pompe Jorge Omar,1244.83,1783884826.7691855
socks4,190.111.243.150,1085,Argentina,AR,Adrogué,elite,true,32.51,AS11014,CPS,2125.16,1783884810.5740316
socks4,190.18.170.230,5678,Argentina,AR,Córdoba,elite,true,62.94,AS7303,Telecom Argentina S.A,2265.58,1783884807.4896493
socks4,200.70.56.84,1080,Argentina,AR,Buenos Aires,elite,true,55.57,AS10834,Telefonica de Argentina,1312.97,1783884901.1870875
socks4,200.63.95.1,1085,Argentina,AR,Villa Paula de Sarmiento,elite,true,21.42,AS272046,CATALA SERGIO TADEO (PUYUTA INTERNET & TECNOLOGIA),1274.73,1783884896.6988509
socks4,200.16.211.68,4153,Argentina,AR,Luján,elite,true,42.84,AS10834,Telefonica de Argentina,2134.97,1783884851.082954
