protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,80.245.197.246,80,Austria,AT,Vienna,anonymous,false,77.39,AS21360,Empirion Telekommunikations Services GmbH,72.2,1780669766.493226
socks4,193.233.129.235,1080,Austria,AT,Vienna,elite,true,82.45,AS210644,OOO FREEnet Group,12402.85,1780669763.2835767
socks5,77.110.110.95,9050,Austria,AT,Vienna,elite,true,11.44,AS210644,Aeza International LTD,13809.87,1780669758.142887
socks4,89.58.17.90,9050,Austria,AT,Vienna,elite,true,36.16,AS197540,netcup GmbH,351.54,1780669744.4650104
http,193.233.128.134,3128,Austria,AT,Vienna,transparent,true,41.44,AS210644,OOO FREEnet Group,11741.6,1780669743.5522223
http,81.10.234.234,80,Austria,AT,Unterweitersdorf,elite,false,69.96,AS12605,LIWEST Kabelmedien GmbH,54.13,1780669733.7143457
http,193.233.128.128,3128,Austria,AT,Vienna,transparent,true,41.26,AS210644,OOO FREEnet Group,10715.76,1780669721.293271
socks5,89.58.17.90,9050,Austria,AT,Vienna,elite,true,34.35,AS197540,netcup GmbH,15258.26,1780669553.885263
socks5,193.233.129.235,1080,Austria,AT,Vienna,elite,true,82.48,AS210644,OOO FREEnet Group,14410.67,1780669385.395385
socks5,212.113.106.198,987,Austria,AT,Vienna,elite,true,23.75,AS210644,xorek.cloud International LTD,415.72,1780669615.1893046
