protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,46.250.241.229,3128,Australia,AU,Sydney,transparent,false,51.92,AS141995,Contabo Asia Private Limited,9526.97,1782060551.6341774
http,103.106.231.75,8081,Australia,AU,Sydney,elite,false,31.23,AS136258,BrainStorm Network,1509.71,1782060531.877251
http,170.64.170.204,8080,Australia,AU,Sydney,elite,false,94.41,AS14061,"DigitalOcean, LLC",546.74,1782060526.9347637
http,103.131.232.9,8080,Australia,AU,Goulburn,transparent,false,23.16,AS45447,YLess4U Pty Ltd,9888.38,1782060524.4341264
socks5,134.199.164.215,1080,Australia,AU,Sydney,elite,true,84.84,AS14061,"DigitalOcean, LLC",3722.58,1782060522.3020315
http,103.18.205.162,8080,Australia,AU,Melbourne,transparent,false,31.71,AS134371,Circle Network,5395.22,1782060490.4706595
socks5,170.64.170.204,1080,Australia,AU,Sydney,elite,true,91.75,AS14061,"DigitalOcean, LLC",1480.5,1782060485.2904437
socks5,103.248.47.230,1080,Australia,AU,Kurnell,elite,true,47.13,AS133417,Dicker Data Ltd,8921.89,1782060464.7206533
socks4,168.138.9.147,1080,Australia,AU,Melbourne,elite,true,42.2,AS31898,Oracle Corporation,15128.67,1782060558.6084251
socks5,168.138.9.147,1080,Australia,AU,Melbourne,elite,true,36.99,AS31898,Oracle Corporation,13553.42,1782060543.1594722
