protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.131.232.9,8080,Australia,AU,Goulburn,transparent,true,23.93,AS45447,YLess4U Pty Ltd,10656.9,1780721084.0548577
http,170.64.170.204,8080,Australia,AU,Sydney,elite,false,94.62,AS14061,"DigitalOcean, LLC",530.09,1780721058.9288924
http,61.29.96.146,8000,Australia,AU,Albury,anonymous,false,9.07,AS2764,AAPT Limited,11716.9,1780721055.3232281
http,159.196.182.72,8080,Australia,AU,Melbourne,transparent,false,30.6,AS4764,Wideband Networks Pty Ltd,4710.54,1780721050.5667386
http,180.181.215.232,3128,Australia,AU,Brisbane,transparent,false,40.46,AS4764,Wideband Networks Pty Ltd,3043.89,1780721034.095856
http,103.30.211.34,80,Australia,AU,Sydney,elite,false,20.92,AS202422,G-Core Labs S.A.,4541.17,1780721030.8734899
http,61.29.96.146,80,Australia,AU,Albury,anonymous,true,7.88,AS2764,AAPT Limited,6966.07,1780721027.3975713
http,139.99.237.62,80,Australia,AU,Sydney,elite,false,49.85,AS16276,OVH SAS,3867.43,1780721010.4173625
http,51.161.131.235,8080,Australia,AU,North Sydney,elite,false,21.96,AS16276,OVH SAS,13199.49,1780720972.2963657
http,203.30.9.8,8443,Australia,AU,Brisbane,elite,false,93.38,AS136994,Southern Phone Company Ltd,1680.02,1780721071.8884242
