protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,27.131.14.9,1088,Bangladesh,BD,Noākhāli,elite,true,64.09,AS55492,Dhaka Fiber Net Limited,2514.74,1781869799.3084865
socks5,103.138.145.202,1999,Bangladesh,BD,Kishorganj,elite,true,32.74,AS139008,Neef IT Limited,3334.43,1781869797.3015246
socks5,115.127.53.114,1080,Bangladesh,BD,Dhaka,elite,true,53.56,AS24342,BRACNet Limited,4619.71,1781869796.7381418
socks5,27.147.255.146,1080,Bangladesh,BD,Sylhet,elite,true,55.31,AS23688,Link3 Technologies Limited,3017.91,1781869795.3755295
socks5,182.163.96.66,1080,Bangladesh,BD,Dhaka,elite,true,68.13,AS9230,Bangladesh Online Ltd,9239.7,1781869792.9666605
socks5,43.251.86.65,1080,Bangladesh,BD,Dhaka,elite,true,56.13,AS45766,Md. Abdul Kayum Rashed,1106.06,1781869783.9237807
http,103.252.126.1,8080,Bangladesh,BD,Benāpol,transparent,false,19.64,AS154169,Mission Computer,3835.81,1781869782.9574053
socks5,103.138.145.228,1999,Bangladesh,BD,Kishorganj,elite,true,47.71,AS139008,Neef IT Limited,2392.07,1781869782.4974499
socks5,103.197.48.209,1080,Bangladesh,BD,Gafargaon,elite,true,44.48,AS138191,Weblink Communications Ltd,3184.98,1781869781.9818332
socks4,103.42.228.19,1080,Bangladesh,BD,Rāmganj,elite,true,52.69,AS137449,Skynet Chowmuhani,949.87,1781869778.352666
http,103.251.232.65,8090,Bangladesh,BD,Dhaka,transparent,false,12.41,AS133034,Virtual American Companies (BD) Limited,7395.23,1781869777.9532819
http,182.160.111.33,12331,Bangladesh,BD,Dhaka,transparent,false,15.0,AS24323,Aamra Networks Limited,8105.12,1781869777.855569
socks5,202.4.117.136,12321,Bangladesh,BD,Dhaka,elite,true,58.63,AS23956,Amber IT Limited,8424.83,1781869776.9397235
http,103.140.204.237,8080,Bangladesh,BD,Cox's Bazar,anonymous,false,31.93,AS134599,Md. Riduanul Kabir,10693.73,1781869776.638603
http,103.185.250.142,1452,Bangladesh,BD,Mātuail,elite,false,18.39,AS149770,L.J Broadband Network,6108.69,1781869776.5927224
http,118.179.151.57,5020,Bangladesh,BD,Dhaka,transparent,true,7.45,AS23956,Amber IT Limited,10737.38,1781869775.1877987
http,182.160.106.146,12331,Bangladesh,BD,Dhaka,transparent,true,47.61,AS24323,Aamra Networks Limited,3291.29,1781869774.5360308
http,103.38.54.64,84,Bangladesh,BD,Mātuail,transparent,false,2.67,AS138346,Nahar Plaza,9764.48,1781869772.5762205
socks5,103.145.133.84,1080,Bangladesh,BD,Sonargaon,elite,true,49.83,AS139809,Md Raisul Islam,1942.1,1781869772.2538252
http,113.11.75.153,9107,Bangladesh,BD,Rajshahi,transparent,false,20.02,AS7565,BDCOM Online Limited,5824.91,1781869766.331908
http,59.153.16.105,20909,Bangladesh,BD,Barishal,transparent,false,26.01,AS64043,EUROtelbd Online Ltd.,2295.11,1781869763.247906
http,103.155.71.91,8080,Bangladesh,BD,Mawna,transparent,false,9.29,AS137453,Orange Communication,4077.55,1781869760.3315983
http,103.134.27.129,8080,Bangladesh,BD,Dhaka,transparent,false,9.9,AS137967,Md Abdur Rouf,5053.82,1781869757.7645304
http,103.12.173.5,8080,Bangladesh,BD,Dhaka,transparent,false,20.59,AS58655,SkyTel Communications Limited,7741.02,1781869756.090279
http,119.148.47.235,1048,Bangladesh,BD,Dhaka,transparent,true,49.35,AS23923,Agni Systems Limited,8142.51,1781869755.2968292
http,103.158.11.209,32650,Bangladesh,BD,Shariatpur,transparent,false,26.6,AS141386,Ka Kha Computer,7732.06,1781869752.0438488
http,103.158.62.186,8088,Bangladesh,BD,Maulavi Bāzār,transparent,false,12.02,AS141398,SEARCH IT,1518.6,1781869750.8221016
http,203.76.120.118,8080,Bangladesh,BD,Tangail,transparent,false,23.81,AS23688,Link3 Technologies Limited,3549.07,1781869748.7158732
http,139.5.189.229,8888,Bangladesh,BD,Dhaka,elite,false,38.3,AS132420,Digital Connectivity Limited,12659.12,1781869746.4296205
http,103.81.175.222,22311,Bangladesh,BD,Tongi,transparent,false,28.48,AS38203,ADN Telecom Ltd.,6150.26,1781869743.8559265
socks5,103.151.75.21,2025,Bangladesh,BD,Dhaka,elite,true,20.33,AS135341,Md Kamrul Islam,1126.53,1781869740.3067403
http,103.81.175.137,22311,Bangladesh,BD,Tongi,transparent,false,30.19,AS38203,ADN Telecom Ltd.,5136.14,1781869736.3285637
http,138.252.89.1,8890,Bangladesh,BD,Meherpur,transparent,false,13.15,AS137453,Orange Communication,10660.58,1781869731.2286816
http,103.81.175.223,22311,Bangladesh,BD,Tongi,elite,false,36.33,AS38203,ADN Telecom Ltd.,7868.35,1781869729.920578
http,115.127.98.18,58080,Bangladesh,BD,Dhaka,transparent,false,5.87,AS24342,BRACNet Limited,8426.86,1781869729.6293485
http,202.40.179.33,9090,Bangladesh,BD,Dhaka,transparent,false,9.34,AS23991,Ranks ITT,6193.45,1781869726.6215837
socks5,182.48.78.141,8008,Bangladesh,BD,Dhaka,elite,true,60.98,AS63969,Corporate Office,4320.25,1781869722.6647494
http,103.81.175.146,22311,Bangladesh,BD,Tongi,transparent,true,33.02,AS38203,ADN Telecom Ltd.,626.01,1781869722.659875
http,182.160.120.107,12331,Bangladesh,BD,Dhaka,transparent,false,17.78,AS24323,Aamra Networks Limited,1701.22,1781869721.5624256
socks5,103.9.185.33,1080,Bangladesh,BD,Dhaka,elite,true,65.25,AS63967,Bangla Trac Communications Ltd.,4635.61,1781869716.6323907
http,103.107.79.249,8080,Bangladesh,BD,Brāhmanbāria,transparent,false,7.06,AS137396,bbariaNet,14620.95,1781869716.3610103
socks5,103.197.48.208,1080,Bangladesh,BD,Gafargaon,elite,true,44.26,AS138191,Weblink Communications Ltd,8427.6,1781869714.5855083
http,182.160.107.42,12331,Bangladesh,BD,Dhaka,transparent,true,18.32,AS24323,Aamra Networks Limited,8484.62,1781869713.9381657
socks5,119.148.11.141,22122,Bangladesh,BD,Dhaka,elite,true,64.36,AS23923,Agni Systems Limited,2105.13,1781869713.1520126
http,160.250.197.49,8080,Bangladesh,BD,Rāikāli,transparent,false,11.5,AS137967,Digicon Telecommunication Ltd,21964.43,1781869710.3842494
http,182.160.109.86,12331,Bangladesh,BD,Dhaka,transparent,false,18.86,AS24323,Aamra Networks Limited,5893.0,1781869703.4726782
http,182.160.126.34,12331,Bangladesh,BD,Dhaka,transparent,false,39.86,AS24323,Aamra Networks Limited,3081.24,1781869702.1854415
socks5,103.187.38.38,1080,Bangladesh,BD,Rupsi,elite,true,32.41,AS139667,Ether Technology Network,3123.79,1781869697.6586354
socks5,103.138.145.204,1999,Bangladesh,BD,Kishorganj,elite,true,33.35,AS139008,Neef IT Limited,1549.51,1781869696.4086425
http,119.18.147.139,10001,Bangladesh,BD,Chittagong,transparent,false,30.29,AS45326,BBTS Network,8509.53,1781869693.403966
http,182.160.109.166,12331,Bangladesh,BD,Dhaka,transparent,false,11.43,AS24323,Aamra Networks Limited,13710.41,1781869680.6060624
socks5,103.118.85.144,1080,Bangladesh,BD,Sātkhira,elite,true,32.52,AS137961,Abuzz IT Limited,1308.88,1781869673.311719
socks5,103.138.144.202,1999,Bangladesh,BD,Kishorganj,elite,true,60.47,AS139008,NEEFIT,8742.77,1781869673.170853
socks5,103.151.74.5,2025,Bangladesh,BD,Dhaka,elite,true,30.0,AS135341,Md Kamrul Islam,2174.02,1781869664.1423092
http,103.140.25.153,8080,Bangladesh,BD,Dhaka,transparent,false,6.16,AS139227,Ali Akber,7439.5,1781869662.871961
http,103.231.239.137,58080,Bangladesh,BD,Sylhet,transparent,false,9.54,AS63526,Carnival Internet,10763.6,1781869661.3167193
http,103.250.69.226,50505,Bangladesh,BD,Bhatara,transparent,true,32.22,AS9441,Next Online Ltd.,4660.89,1781869655.2476876
http,103.224.55.153,8090,Bangladesh,BD,Hājīganj,transparent,false,12.88,AS152479,Delta Software and Communication Limited,18447.63,1781869622.9608638
