protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.148.148.145,10056,Bangladesh,BD,Farīdpur,transparent,true,25.61,AS140103,Invention Technologies Limited,3827.87,1782674034.7607443
http,103.54.43.131,8080,Bangladesh,BD,Azimpur,transparent,true,11.69,AS134116,THE NET HEADS,11214.04,1782674024.8949132
http,113.11.75.153,9107,Bangladesh,BD,Rajshahi,transparent,false,19.95,AS7565,BDCOM Online Limited,6550.69,1782674024.415163
http,160.250.197.49,8080,Bangladesh,BD,Rāikāli,transparent,false,11.53,AS137967,Digicon Telecommunication Ltd,9104.72,1782674021.773328
http,103.134.27.129,8080,Bangladesh,BD,Dhaka,transparent,false,10.15,AS137967,Md Abdur Rouf,7819.2,1782674018.6119394
http,103.6.251.240,8080,Bangladesh,BD,Kafrul,transparent,false,22.48,AS150330,Shahjahan Kabir,5553.2,1782674017.445117
http,103.40.226.126,26100,Bangladesh,BD,Dhaka,elite,false,27.1,AS45766,Triangle Services,6218.63,1782674009.9697924
http,103.161.69.233,2698,Bangladesh,BD,Chittagong,transparent,false,26.85,AS137967,MiME,1488.21,1782674008.6299798
http,113.11.37.81,2505,Bangladesh,BD,Dhaka,transparent,false,15.91,AS7565,BDCOM Online Limited,4830.2,1782674007.407895
http,113.11.121.33,2505,Bangladesh,BD,Jessore,transparent,false,23.82,AS7565,BDCOM Online Limited,4943.32,1782673988.713752
http,103.224.55.154,8090,Bangladesh,BD,Hājīganj,transparent,false,14.25,AS152479,Delta Software and Communication Limited,9593.46,1782673987.2078846
http,182.160.103.73,12331,Bangladesh,BD,Dhaka,transparent,false,15.43,AS24323,Aamra Networks Limited,14163.19,1782673983.3337054
http,202.5.33.33,1101,Bangladesh,BD,Patiya,transparent,false,43.5,AS45326,BBTS-NEW,1513.03,1782673980.9079456
http,103.81.175.223,22311,Bangladesh,BD,Tongi,elite,false,34.71,AS38203,ADN Telecom Ltd.,10213.92,1782673975.9640741
http,182.160.125.94,12331,Bangladesh,BD,Dhaka,transparent,false,25.17,AS24323,Aamra Networks Limited,7251.13,1782673974.8488991
http,103.81.104.53,9999,Bangladesh,BD,Dhaka,transparent,false,29.53,AS136141,Dilara Tower(lavel 7),8147.11,1782673972.9687881
http,103.112.130.14,8080,Bangladesh,BD,Narayanganj,transparent,false,6.22,AS137542,Sayem Online Communication,14798.21,1782673969.624013
http,103.42.203.60,8090,Bangladesh,BD,Lakshmīpur,transparent,false,13.71,AS138640,HelloTech Limited,13047.83,1782673963.7826178
http,182.160.124.83,50000,Bangladesh,BD,Dhaka,elite,false,10.51,AS24323,Aamra Networks Limited,19182.4,1782673958.8629065
http,103.252.126.133,8080,Bangladesh,BD,Benāpol,transparent,false,16.39,AS154169,Mission Computer,12626.02,1782673941.1836622
http,182.160.109.125,12331,Bangladesh,BD,Dhaka,transparent,false,10.77,AS24323,Aamra Networks Limited,9204.45,1782673927.3014855
http,103.252.120.18,8090,Bangladesh,BD,Gazipur,transparent,false,28.29,AS151984,NR Link,5900.01,1782673925.9181893
http,113.11.110.65,2505,Bangladesh,BD,Dhaka,transparent,false,15.4,AS7565,BDCOM Online Limited,7090.26,1782673912.3345387
http,103.161.69.252,2698,Bangladesh,BD,Chittagong,transparent,false,16.01,AS137967,MiME,8034.58,1782673910.4661078
http,103.148.217.247,8080,Bangladesh,BD,Narayanganj,anonymous,false,4.11,AS140226,Md Golam Mortuza,3966.99,1782673897.9545927
http,163.227.144.80,8080,Bangladesh,BD,Comilla,transparent,false,24.29,AS133605,Bright Technologies Limited,9197.15,1782673896.3157895
