protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,115.127.179.174,2026,Bangladesh,BD,Dhaka,elite,true,25.25,AS24342,BRACNet Limited,11075.49,1781427545.6404977
http,160.187.130.171,808,Bangladesh,BD,Dhaka,elite,true,69.16,AS150142,Wolast Technologies,2567.66,1781427533.9553216
http,119.18.147.139,10001,Bangladesh,BD,Chittagong,transparent,true,30.25,AS45326,BBTS Network,2740.11,1781427492.974867
http,103.81.104.53,9999,Bangladesh,BD,Khanbaniara,transparent,true,41.23,AS136141,Dilara Tower(lavel 7),12998.53,1781427490.292598
http,43.224.118.42,10001,Bangladesh,BD,Dhaka,transparent,true,70.12,AS9441,Next Online,2049.41,1781427486.7958448
http,103.145.132.184,8080,Bangladesh,BD,Sonargaon,transparent,true,13.05,AS139809,Md Raisul Islam,11404.11,1781427478.8726695
http,103.250.69.226,50505,Bangladesh,BD,Bhatara,transparent,true,31.23,AS9441,Next Online Ltd.,3002.94,1781427471.3760626
http,103.252.127.128,8090,Bangladesh,BD,Gazipur,transparent,true,26.24,AS133605,Bright Technologies Limited,3533.23,1781427470.9968853
http,202.40.179.33,9090,Bangladesh,BD,Dhaka,transparent,true,9.24,AS23991,Ranks ITT,5446.14,1781427467.3306186
http,123.200.3.125,2314,Bangladesh,BD,Dhaka,transparent,true,19.66,AS23688,Link3 Technologies Limited,12292.44,1781427428.8211102
