protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,114.130.175.146,1088,Bangladesh,BD,Dhaka,elite,true,59.29,AS45588,Bangladesh Telegraph & Telephone Board,9019.41,1781040567.2066183
socks5,115.127.0.158,1080,Bangladesh,BD,Dhaka,elite,true,56.09,AS24342,BRACNet Limited,4426.48,1781040560.5255494
socks5,103.138.145.228,1999,Bangladesh,BD,Kishorganj,elite,true,50.73,AS139008,Neef IT Limited,8532.08,1781040557.1812844
socks5,43.251.86.65,1080,Bangladesh,BD,Dhaka,elite,true,57.31,AS45766,Md. Abdul Kayum Rashed,3057.17,1781040551.9437268
socks5,103.189.218.76,6969,Bangladesh,BD,Tongi,elite,true,50.76,AS149868,Comfort Solutions,4582.01,1781040550.4915571
socks5,103.189.218.158,1080,Bangladesh,BD,Tongi,elite,true,52.67,AS149868,Comfort Solutions,9141.31,1781040542.22438
socks5,103.219.163.246,1080,Bangladesh,BD,Dhaka,elite,true,66.82,AS38203,ADN Telecom Ltd.,1585.56,1781040538.9378817
socks5,182.48.84.69,8008,Bangladesh,BD,Mohammadpur,elite,true,57.94,AS63969,Corporate Office,4099.46,1781040532.6275487
socks5,103.42.203.163,1080,Bangladesh,BD,Lakshmīpur,elite,true,62.07,AS138640,HelloTech Limited,8882.74,1781040523.780784
socks5,43.246.201.253,1080,Bangladesh,BD,Hājīganj,elite,true,51.25,AS138640,Asiatel Network Limited,4882.82,1781040517.4161475
socks5,103.141.174.38,1080,Bangladesh,BD,Dhaka,elite,true,13.49,AS58689,ICC Communication Ltd,2395.01,1781040515.075312
socks5,27.131.14.9,1088,Bangladesh,BD,Noākhāli,elite,true,65.82,AS55492,Dhaka Fiber Net Limited,4070.66,1781040503.3597484
socks5,103.162.57.42,1080,Bangladesh,BD,Feni,elite,true,42.88,AS139282,Novus Network,2433.35,1781040487.1663828
socks5,103.187.39.17,1080,Bangladesh,BD,Tarabo,elite,true,32.48,,Ether Technology Network,2116.23,1781040476.8817015
socks5,103.243.238.241,11011,Bangladesh,BD,Kafrul,elite,true,59.9,AS134371,Circle Network,2822.87,1781040430.3299584
socks5,202.181.16.45,52929,Bangladesh,BD,Habiganj,elite,true,54.4,AS137491,Level3 Carrier Limited,9263.36,1781040419.4055521
