protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,93.123.121.3,8080,Bulgaria,BG,Pirdop,elite,true,27.12,AS44851,Retel JSC,2707.61,1782239394.363517
socks4,148.253.214.128,3182,Bulgaria,BG,Sofia,elite,true,46.39,AS216129,SEBEK sp. z o.o,6334.32,1782239382.4296796
http,85.196.179.34,8080,Bulgaria,BG,Sofia,elite,false,10.59,AS29580,Mobiltel BNG,6389.63,1782239363.1440742
socks4,109.160.97.49,4145,Bulgaria,BG,Rousse,elite,true,13.31,AS205352,Kabelnet LTD,7388.64,1782239358.7550972
socks5,103.249.134.225,1080,Bulgaria,BG,Sofia,elite,true,31.02,AS200740,First Server Limited,2209.39,1782239282.790452
http,103.249.134.225,3128,Bulgaria,BG,Sofia,elite,false,25.73,AS200740,First Server Limited,8489.96,1782239275.9558764
http,78.130.246.65,1881,Bulgaria,BG,Plovdiv,transparent,false,7.05,AS9070,"""Cooolbox"" AD",8499.58,1782239264.6918344
http,185.204.53.85,3128,Bulgaria,BG,Sofia,elite,false,4.56,AS59729,Green Floid LLC,11316.77,1782239262.912806
socks5,148.253.214.128,3180,Bulgaria,BG,Sofia,elite,true,55.02,AS216129,SEBEK sp. z o.o,1565.83,1782239255.7417088
socks4,212.50.19.150,4153,Bulgaria,BG,Sofia,elite,true,12.49,AS8717,Spectrum NET,3174.97,1782239376.4369924
