protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,185.78.37.238,8080,Bulgaria,BG,Burgas,transparent,false,39.09,AS29084,Comnet Bulgaria Holding Ltd.,12654.2,1780633175.719826
http,151.237.84.9,8080,Bulgaria,BG,Kardzhali,transparent,false,21.1,AS48233,Netroniks EOOD,8351.44,1780633172.78392
http,149.62.230.50,8080,Bulgaria,BG,Sofia,transparent,false,33.18,AS29244,CETIN Bulgaria EAD,1695.17,1780633155.3087623
http,46.55.143.145,8080,Bulgaria,BG,Kardzhali,transparent,false,12.79,AS51582,DCC,4101.95,1780633138.671161
http,87.126.65.11,1388,Bulgaria,BG,Stara Zagora,transparent,true,5.82,AS8866,Vivacom Bulgaria EAD,10215.04,1780633131.6999612
http,46.10.209.230,8080,Bulgaria,BG,Sofia,elite,false,5.07,AS8866,BTC-BROADBAND,4119.17,1780633077.324046
http,82.137.90.192,80,Bulgaria,BG,Haskovo,elite,false,45.97,AS8866,Bulgarian Telecommunications Company Plc.,11102.57,1780633029.4551063
http,213.169.33.8,8001,Bulgaria,BG,Sofia,transparent,false,13.48,AS8717,A1 Bulgaria EAD,3131.0,1780633162.7552183
http,213.169.52.101,8185,Bulgaria,BG,Shumen,transparent,false,50.91,AS42086,RONI,8865.86,1780633159.313887
http,213.169.33.7,8001,Bulgaria,BG,Sofia,transparent,false,10.26,AS8717,A1 Bulgaria EAD,6437.62,1780633106.6319704
