protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,200.14.57.4,4153,Brazil,BR,Pedreiras,elite,true,44.58,AS270441,CONNECT PEDREIRAS SERVIÇOS DE INFORMATICA LTDA,987.42,1782528601.2898128
http,170.82.194.134,3128,Brazil,BR,Penha,anonymous,true,60.79,AS266446,Itjsc Servicos De Comunicacao E Solucoes Ltda,1394.64,1782528594.5551975
socks4,143.208.130.155,5678,Brazil,BR,Recife,elite,true,48.67,AS264091,Lanservi Tecnologia,941.32,1782528591.89716
socks4,189.39.118.210,5678,Brazil,BR,Jaboatão dos Guararapes,elite,true,47.84,AS16735,ALGAR TELECOM S/A,8454.55,1782528591.6934032
socks4,138.94.28.234,40658,Brazil,BR,Cantagalo,elite,true,15.83,AS264100,RIO CABLE TELECOM LTDA,8201.54,1782528590.9919038
socks4,190.109.72.10,33633,Brazil,BR,São Geraldo do Araguaia,elite,true,7.39,AS264231,RG.COM - INFORMATICA & COMUNICACAO LTDA - ME,1936.88,1782528590.5121138
http,143.0.203.173,8080,Brazil,BR,Neves Paulista,transparent,true,25.63,AS264001,Genesysnet Provedor De Internet Ltda ME,2621.46,1782528589.7173645
http,187.72.215.33,3128,Brazil,BR,Brasília,anonymous,true,53.77,AS16735,ALGAR TELECOM S/A,8665.68,1782528585.3601394
http,187.49.176.141,8080,Brazil,BR,Fortaleza,transparent,false,11.28,AS264562,PBR SERVICOS DE TELECOMUNICACOES LTDA,3267.47,1782528582.6903265
socks4,177.131.29.214,4153,Brazil,BR,Macapá,elite,true,4.83,AS262378,Compuservice Empreendimentos Ltda,8195.68,1782528578.3452091
http,186.227.196.104,3128,Brazil,BR,Cabedelo,transparent,true,31.22,AS53055,Dimenoc Servicos De Informatica Ltda,11352.22,1782528578.2539053
http,143.208.84.2,8589,Brazil,BR,Ubiratã,transparent,false,14.2,AS265125,V. GRAZIOLI & CIA. LTDA. - ME,5958.74,1782528576.1140425
http,170.84.147.216,8087,Brazil,BR,Piracuruca,transparent,true,25.55,AS264997,Direct Telecom Ltda,12355.98,1782528572.7038639
http,143.208.152.62,3180,Brazil,BR,Muqui,transparent,false,31.64,AS265130,Fibra Empresas Ltda,4210.95,1782528567.7517107
http,189.124.91.145,7171,Brazil,BR,Presidente Bernardes,transparent,true,6.84,AS28287,Vero S.A,16506.8,1782528561.0598824
http,186.192.97.162,8080,Brazil,BR,Salvador,transparent,false,26.0,AS262728,Eletrodata Ltda,3540.12,1782528549.9438913
http,187.49.83.163,53000,Brazil,BR,Cascavel,transparent,false,9.95,AS28142,DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES EIRELI,5866.46,1782528547.9281995
http,187.62.65.5,8080,Brazil,BR,Aracaju,transparent,false,32.13,AS269719,GN TELECOM,11295.23,1782528536.9541705
http,187.103.105.20,8085,Brazil,BR,Florianópolis,transparent,false,11.38,AS14840,BR.Digital Telecom,674.98,1782528536.4173417
http,187.94.16.59,39665,Brazil,BR,Irecê,elite,false,6.83,AS53075,Holistica Provedor Internet Ltda,2260.41,1782528531.9288628
socks5,147.15.92.152,1080,Brazil,BR,São Paulo,elite,true,48.38,AS31898,Oracle Corporation,1336.1,1782528531.4357705
http,187.49.83.164,53000,Brazil,BR,Cascavel,transparent,false,9.67,AS28142,DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES EIRELI,5193.29,1782528530.9318552
http,191.252.111.160,7000,Brazil,BR,São Paulo,elite,true,44.6,AS27715,Locaweb Serviços de Internet S/A,4810.13,1782528528.3481762
http,179.48.11.6,8085,Brazil,BR,Campo Maior,transparent,false,10.79,AS271113,Carnaubanet Ltda,4421.95,1782528519.4709826
socks5,92.113.32.17,1081,Brazil,BR,São Paulo,elite,true,65.72,AS47583,Hostinger International Limited,4346.21,1782528512.9419975
