protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.10.91.117,8084,Brazil,BR,Vitória da Conquista,transparent,false,5.9,AS136244,Cogent Communications,1944.37,1783794583.6692593
http,177.135.190.101,8080,Brazil,BR,Recife,transparent,true,11.04,AS18881,TELEFÔNICA BRASIL S.A,2454.32,1783794575.836734
http,38.10.91.114,8084,Brazil,BR,Vitória da Conquista,transparent,false,8.64,AS136244,Cogent Communications,5959.92,1783794571.3194466
http,138.186.187.218,8080,Brazil,BR,Itaquaquecetuba,transparent,false,3.98,AS61784,AltaNet Telecom e Inf. LTDA-ME,10705.67,1783794569.3599088
http,170.81.131.70,3128,Brazil,BR,São José do Rio Preto,elite,true,11.05,AS28330,IFTNET Telecomunicacoes Ltda,5820.69,1783794569.0118835
http,189.27.197.27,3128,Brazil,BR,São Paulo,transparent,true,39.76,AS18881,Vivo,2637.44,1783794560.8278685
http,38.60.241.207,3128,Brazil,BR,São Paulo,transparent,false,39.13,AS138915,Kaopu Cloud HK Limited,17231.1,1783794558.3739312
http,177.10.202.115,35452,Brazil,BR,Campina Grande,elite,false,19.54,AS263025,ISPTEC Sistemas de Comunicação Eireli,6302.7,1783794558.022295
http,170.82.194.134,3128,Brazil,BR,Penha,anonymous,true,61.33,AS266446,Itjsc Servicos De Comunicacao E Solucoes Ltda,8153.45,1783794557.5833411
http,177.19.167.242,80,Brazil,BR,Porto Alegre,elite,false,26.36,AS18881,Vivo,5720.12,1783794556.9760091
http,191.209.13.252,8085,Brazil,BR,Espírito Santo do Pinhal,transparent,true,47.02,AS27699,Vivo,2901.31,1783794548.703837
http,190.83.40.166,3128,Brazil,BR,Vitorino Freire,transparent,false,32.75,AS264567,Jose DAS Gracas Soares De Lima Eireli,3686.13,1783794543.827812
http,187.62.191.3,61456,Brazil,BR,Bariri,elite,true,6.4,AS262662,Conexao Networks Provedor de Internet,10443.81,1783794536.052133
http,177.20.167.139,8080,Brazil,BR,Bofete,transparent,false,22.57,AS270814,Zaaz Provedor De Internet E Telecomunicacoes Ltda,9607.93,1783794534.6718767
http,179.51.199.87,8099,Brazil,BR,Teresina,transparent,true,9.52,AS271244,Fortinet Telecomunicacoes Eireli,3480.62,1783794526.4679651
http,189.50.45.46,1995,Brazil,BR,Goianira,transparent,false,17.48,AS28326,Total Telecom LTDA-ME,4180.69,1783794526.3998587
http,179.185.89.251,8080,Brazil,BR,Campo Grande,transparent,false,11.74,AS18881,TELEFÔNICA BRASIL S.A,5311.2,1783794522.5170212
