protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,186.216.51.176,8080,Brazil,BR,Rio Branco,transparent,true,23.09,AS262663,Metroflex Telecomunicacoes Ltda,4313.44,1782088742.3199074
http,187.103.105.20,8085,Brazil,BR,Florianópolis,transparent,true,11.2,AS14840,BR.Digital Telecom,5253.67,1782088740.6553872
http,170.84.93.123,8080,Brazil,BR,Lagoa Alegre,transparent,true,36.28,AS264991,Bomfim E Sousa Ltda,9251.74,1782088739.561487
http,191.5.38.6,54121,Brazil,BR,Mário Campos,elite,true,11.37,AS28198,Sempre Telecomunicacoes Ltda,11353.81,1782088735.92898
http,179.48.25.1,8095,Brazil,BR,Timon,transparent,true,26.04,AS271159,Viana Telecom LTDA,1509.37,1782088730.7912004
http,186.227.196.104,3128,Brazil,BR,Cabedelo,transparent,true,30.66,AS53055,Dimenoc Servicos De Informatica Ltda,14412.19,1782088721.9531715
http,186.250.29.230,8080,Brazil,BR,Santa Helena,transparent,true,26.6,AS262966,KDM INTERNET TELECOMUNICACOES LTDA,4257.39,1782088705.271793
http,177.20.167.139,8080,Brazil,BR,Bofete,transparent,true,18.14,AS270814,Zaaz Provedor De Internet E Telecomunicacoes Ltda,12606.01,1782088698.1479735
http,201.157.235.197,8080,Brazil,BR,Lauro de Freitas,transparent,true,12.34,AS52871,TASCOM TELECOMUNICAÇÕES LTDA,4650.14,1782088696.8091156
http,200.227.89.50,3128,Brazil,BR,Vila Prudente,anonymous,true,56.99,AS4230,Claro S.A,6661.17,1782088639.6359773
