protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,170.79.153.200,5678,Brazil,BR,Alto do Rodrigues,elite,true,33.48,AS266294,A Z DE ARAUJO NETO ME,1942.09,1782872966.3191228
socks4,200.188.246.122,60606,Brazil,BR,São José,elite,true,53.36,AS11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,2066.74,1782872965.414578
socks4,190.109.72.224,33633,Brazil,BR,São Geraldo do Araguaia,elite,true,21.74,AS264231,RG.COM - INFORMATICA & COMUNICACAO LTDA - ME,3974.34,1782872964.905168
socks4,189.39.118.210,5678,Brazil,BR,Jaboatão dos Guararapes,elite,true,49.37,AS16735,ALGAR TELECOM S/A,2192.85,1782872960.7507277
socks4,191.252.93.122,3128,Brazil,BR,São Paulo,elite,true,67.55,AS27715,Locaweb Serviços de Internet S/A,5252.68,1782872959.3569896
socks4,138.186.133.161,4153,Brazil,BR,Itabaiana,elite,true,11.27,AS53160,Unidasnet Comunicacoes Ltda,8071.11,1782872958.957878
socks4,206.42.51.78,4153,Brazil,BR,João Pessoa,elite,true,17.13,AS28126,Brisanet Servicos De Telecomunicacoes S.A,833.81,1782872956.657924
socks4,189.90.118.105,4153,Brazil,BR,Cantagalo,elite,true,48.94,AS262808,Brasilnet Telecomunicações Ltda ME,1121.41,1782872940.2271457
socks4,187.86.153.254,30660,Brazil,BR,Pelotas,elite,true,17.0,AS53066,VETORIALNET INF. E SERVIÇOS DE INTERNET LTDA,8321.42,1782872921.2214243
socks4,167.250.137.129,1080,Brazil,BR,Juazeiro do Norte,elite,true,55.25,AS28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,8158.92,1782872977.3631234
