protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,173.181.143.245,80,Canada,CA,Vancouver,elite,false,37.43,AS852,TELUS Communications Inc.,1661.58,1783963162.6772573
socks4,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,80.1,AS16276,OVH SAS,7544.71,1783963161.6499498
socks4,45.95.38.57,9050,Canada,CA,Winnipeg,elite,true,28.31,AS394352,Fastnet Communications,12375.83,1783963152.233491
http,185.196.61.251,8081,Canada,CA,Toronto,elite,false,31.44,AS136258,"BrainStorm Network, Inc",1220.52,1783963151.6333158
http,54.39.154.107,8082,Canada,CA,Beauharnois,anonymous,false,21.32,AS16276,OVH SAS,14819.86,1783963144.488189
socks4,142.112.52.229,8443,Canada,CA,Montreal,elite,true,25.03,AS577,Bell Canada,471.96,1783963142.802627
socks5,38.49.210.79,40000,Canada,CA,Montreal,elite,true,95.75,AS26832,Rica Web Services,1843.63,1783963130.8528647
http,158.69.49.178,8080,Canada,CA,Montreal,transparent,false,33.82,AS16276,OVH SAS,12112.37,1783963130.3611546
http,96.1.101.113,80,Canada,CA,Calgary,elite,false,28.64,AS852,TELUS Communications Inc.,14574.09,1783963130.335738
http,148.113.202.99,3128,Canada,CA,Beauharnois,transparent,false,65.89,AS16276,OVH SAS,7717.7,1783963128.892005
http,151.243.236.236,80,Canada,CA,Beauharnois,elite,false,63.05,AS16276,OVH SAS,2953.39,1783963128.3714168
socks5,68.233.127.229,1080,Canada,CA,Montreal,elite,true,52.54,AS31898,Oracle Corporation,11570.12,1783963125.5457034
socks5,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,70.28,AS16276,OVH SAS,3635.11,1783962925.6271474
socks5,151.145.63.243,1080,Canada,CA,Montreal,elite,true,47.26,AS31898,Oracle Corporation,21602.93,1783962784.2245944
socks5,184.95.235.194,1080,Canada,CA,Montreal,elite,true,41.42,AS22652,Videotron Telecom Ltee,571.31,1783963195.07752
socks5,185.196.61.251,1080,Canada,CA,Toronto,elite,true,38.79,AS136258,"BrainStorm Network, Inc",553.57,1783963192.380091
