protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,192.99.44.178,3128,Canada,CA,Montreal,transparent,true,20.97,AS16276,OVH SAS,13713.17,1783773555.757876
http,51.222.142.44,8080,Canada,CA,Beauharnois,transparent,true,27.93,AS16276,OVH SAS,5632.07,1783773502.2443738
http,54.39.154.107,8082,Canada,CA,Beauharnois,anonymous,true,21.19,AS16276,OVH SAS,1248.83,1783773495.9760864
http,167.114.172.208,3129,Canada,CA,Montreal,elite,true,34.85,AS16276,OVH SAS,6962.53,1783773579.6319053
http,158.69.49.178,8080,Canada,CA,Montreal,transparent,true,36.18,AS16276,OVH SAS,10118.48,1783773573.3378947
http,96.1.101.113,80,Canada,CA,Calgary,elite,false,27.76,AS852,TELUS Communications Inc.,12905.16,1783773564.740784
http,149.56.24.51,3128,Canada,CA,Montreal,transparent,false,23.03,AS16276,OVH SAS,9827.98,1783773521.3717506
http,158.69.49.18,8080,Canada,CA,Montreal,transparent,false,35.14,AS16276,OVH SAS,17127.27,1783773492.544428
http,151.243.236.236,80,Canada,CA,Beauharnois,elite,false,66.38,AS16276,OVH SAS,217.52,1783773482.684675
http,148.113.202.99,3128,Canada,CA,Beauharnois,transparent,false,58.88,AS16276,OVH SAS,215.4,1783773480.5561454
