protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,45.95.38.57,9050,Canada,CA,Winnipeg,elite,true,28.12,AS394352,Fastnet Communications,12725.58,1783745384.4189668
socks5,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,64.75,AS16276,OVH SAS,1668.46,1783745354.7144985
socks5,140.238.156.12,1080,Canada,CA,Toronto,elite,true,9.52,AS31898,Oracle Corporation,2930.75,1783745321.262629
socks5,51.222.13.193,10084,Canada,CA,Beauharnois,elite,true,55.0,AS16276,OVH SAS,2573.32,1783745239.7454336
socks5,167.114.172.208,1088,Canada,CA,Montreal,elite,true,99.9,AS16276,OVH SAS,586.31,1783745389.3789687
socks5,15.235.50.91,1080,Canada,CA,Montreal,elite,true,9.61,AS16276,OVH SAS,735.08,1783745362.4773188
socks5,184.95.220.42,1080,Canada,CA,Montreal,elite,true,41.55,AS22652,Videotron Telecom Ltee,623.77,1783745357.3476646
socks5,184.95.235.194,1080,Canada,CA,Montreal,elite,true,41.48,AS22652,Videotron Telecom Ltee,1549.29,1783745323.664726
socks5,185.196.61.251,1080,Canada,CA,Toronto,elite,true,39.03,AS136258,"BrainStorm Network, Inc",504.93,1783745312.3718603
socks5,38.49.210.79,40000,Canada,CA,Montreal,elite,true,95.81,AS26832,Rica Web Services,893.44,1783745311.072656
socks5,151.145.63.243,1080,Canada,CA,Montreal,elite,true,50.14,AS31898,Oracle Corporation,13064.48,1783745177.1123672
