protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,137.31.47.73,443,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",134.55,1780241939.4823058
http,137.31.47.79,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",136.02,1780241937.2676136
http,137.31.45.79,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",133.11,1780241928.9945629
http,137.31.47.49,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",141.77,1780241927.8822846
http,137.31.47.67,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",134.06,1780241925.6934881
http,137.31.47.55,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",139.56,1780241922.6555774
socks4,179.43.180.232,1081,Switzerland,CH,Rümlang,elite,true,41.64,AS51852,Private Layer INC,336.36,1780241918.3288352
socks4,45.95.232.35,1080,Switzerland,CH,Zurich,elite,true,86.5,AS215540,Global Connectivity Solutions LLP,237.69,1780241909.437862
http,137.31.47.79,443,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",132.4,1780241906.6775649
http,137.31.47.61,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",132.56,1780241904.2411191
http,137.31.45.85,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",130.36,1780241901.3367085
socks5,179.43.180.232,1081,Switzerland,CH,Rümlang,elite,true,40.34,AS51852,Private Layer INC,12152.94,1780241900.5020418
socks5,45.95.232.35,1080,Switzerland,CH,Zurich,elite,true,83.55,AS215540,Global Connectivity Solutions LLP,902.97,1780241894.5885391
http,137.31.47.73,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",135.64,1780241885.8317552
http,137.31.45.55,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",144.32,1780241881.9492836
http,137.31.45.67,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",141.34,1780241879.409938
http,137.31.47.91,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",130.96,1780241878.4031706
http,137.31.45.73,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",150.31,1780241877.28426
http,137.31.45.49,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",135.32,1780241877.264073
http,137.31.45.61,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",127.22,1780241851.7298174
http,137.31.45.91,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",136.69,1780241850.5914197
http,45.95.232.35,3128,Switzerland,CH,Zurich,elite,true,77.69,AS215540,Global Connectivity Solutions LLP,4889.35,1780241837.8257546
http,137.31.47.85,80,Switzerland,CH,Bern,elite,true,100.0,AS22616,"ZSCALER, INC.",131.38,1780241857.251974
