protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,147.161.246.34,11693,Switzerland,CH,Zurich,elite,true,97.66,AS62044,Zscaler Switzerland GmbH,26.33,1781553571.5501628
http,147.161.246.34,11841,Switzerland,CH,Zurich,elite,true,97.49,AS62044,Zscaler Switzerland GmbH,27.19,1781553571.2315369
http,147.161.246.34,11592,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,26.81,1781553569.0712397
http,147.161.246.34,11653,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,27.3,1781553565.611661
http,147.161.246.34,10799,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,28.04,1781553565.2954366
http,147.161.246.34,10678,Switzerland,CH,Zurich,elite,true,99.27,AS62044,Zscaler Switzerland GmbH,27.51,1781553564.2975857
http,147.161.246.34,10448,Switzerland,CH,Zurich,elite,true,99.14,AS62044,Zscaler Switzerland GmbH,26.57,1781553561.1666174
http,147.161.246.34,11629,Switzerland,CH,Zurich,elite,true,97.86,AS62044,Zscaler Switzerland GmbH,28.28,1781553560.346055
http,147.161.246.34,11153,Switzerland,CH,Zurich,elite,true,97.2,AS62044,Zscaler Switzerland GmbH,26.95,1781553558.5427203
http,147.161.246.34,11637,Switzerland,CH,Zurich,elite,true,98.89,AS62044,Zscaler Switzerland GmbH,26.54,1781553553.2118018
http,147.161.246.34,11107,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,26.39,1781553551.848701
http,147.161.246.34,10134,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,26.8,1781553549.6072457
http,147.161.246.34,11692,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,27.76,1781553548.1038702
http,147.161.246.34,11206,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,25.8,1781553542.8444703
http,147.161.246.34,11712,Switzerland,CH,Zurich,elite,true,98.9,AS62044,Zscaler Switzerland GmbH,31.2,1781553539.958246
http,147.161.246.34,11555,Switzerland,CH,Zurich,elite,true,98.52,AS62044,Zscaler Switzerland GmbH,33.86,1781553524.3990958
http,147.161.246.34,8800,Switzerland,CH,Zurich,elite,true,97.54,AS62044,Zscaler Switzerland GmbH,26.92,1781553523.850516
http,147.161.246.34,12020,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,26.56,1781553520.9910722
http,147.161.246.34,11662,Switzerland,CH,Zurich,elite,true,98.02,AS62044,Zscaler Switzerland GmbH,27.39,1781553513.8697863
http,147.161.246.34,443,Switzerland,CH,Zurich,elite,true,98.57,AS62044,Zscaler Switzerland GmbH,28.27,1781553510.9746494
http,147.161.246.34,11530,Switzerland,CH,Zurich,elite,true,99.26,AS62044,Zscaler Switzerland GmbH,27.23,1781553510.7815998
http,147.161.246.34,11745,Switzerland,CH,Zurich,elite,true,98.19,AS62044,Zscaler Switzerland GmbH,26.99,1781553510.3120542
http,147.161.246.34,11746,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,32.06,1781553508.3062375
http,147.161.246.34,11080,Switzerland,CH,Zurich,elite,true,97.88,AS62044,Zscaler Switzerland GmbH,30.66,1781553504.398997
http,74.242.169.16,3128,Switzerland,CH,Zurich,transparent,true,13.92,AS8075,Microsoft Corporation,7642.38,1781553499.4254792
http,147.161.246.34,10152,Switzerland,CH,Zurich,elite,true,98.53,AS62044,Zscaler Switzerland GmbH,29.35,1781553494.2635305
