protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.13.147.241,5678,Chile,CL,Osorno,elite,true,55.45,AS14117,Telefonica del Sur S.A,2203.3,1781893157.4655476
http,45.225.207.248,999,Chile,CL,Las Cabras,transparent,false,20.53,AS265858,Netdelsur Telecomunicaciones SPA,9752.24,1781893125.963851
http,38.7.195.16,999,Chile,CL,Santiago,transparent,false,6.2,AS263702,Grupo ZGH SpA,8950.44,1781893122.7722118
http,45.4.2.24,999,Chile,CL,Santiago,transparent,true,16.1,AS265662,Tlink SPA,4278.3,1781893120.6508665
http,38.7.206.186,999,Chile,CL,Santiago,transparent,false,14.77,AS263702,Grupo ZGH SpA,10388.43,1781893119.2067585
http,38.7.195.51,999,Chile,CL,Santiago,transparent,false,26.66,AS263702,Grupo ZGH SpA,9708.07,1781893113.707992
http,38.7.195.55,999,Chile,CL,Santiago,transparent,false,26.77,AS263702,Grupo ZGH SpA,13680.31,1781893103.425221
socks4,190.54.100.74,5678,Chile,CL,Santiago,elite,true,18.65,AS6429,Telmex Chile Internet S.A.,1058.21,1781893097.7773046
http,38.7.195.52,999,Chile,CL,Santiago,transparent,false,26.73,AS263702,Grupo ZGH SpA,4643.13,1781893089.284741
http,179.57.172.172,999,Chile,CL,Curicó,transparent,false,8.67,AS14117,Telefonica del Sur S.A.,8408.31,1781893076.180514
http,45.162.132.157,999,Chile,CL,Puente Alto,transparent,false,6.46,AS271843,Lara Ingenieria EN Tecnologia Y Telecomunicaciones Limitada,12666.94,1781892995.3420608
