protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,179.57.172.172,999,Chile,CL,Curicó,transparent,true,9.35,AS14117,Telefonica del Sur S.A.,1743.55,1783926559.881818
http,170.245.50.65,8080,Chile,CL,Santiago,transparent,true,26.82,AS52510,MI INTERNET SPA,3134.24,1783926549.3679855
http,45.225.206.2,999,Chile,CL,Las Cabras,transparent,true,13.07,AS265858,Netdelsur Telecomunicaciones SPA,8132.72,1783926548.6492693
http,45.225.205.5,999,Chile,CL,Las Cabras,transparent,true,18.29,AS265858,Netdelsur Telecomunicaciones SPA,14633.99,1783926534.0760546
http,186.148.47.253,999,Chile,CL,Providencia,transparent,true,16.82,AS7004,TELEFÓNICA CHILE S.A.,4460.83,1783926531.965403
http,38.7.195.49,999,Chile,CL,Santiago,transparent,true,36.03,AS263702,Grupo ZGH SpA,4728.67,1783926473.8212929
http,38.7.195.51,999,Chile,CL,Santiago,transparent,true,28.34,AS263702,Grupo ZGH SpA,3695.89,1783926555.2306523
http,204.199.139.75,999,Chile,CL,Isla de Maipo,transparent,true,5.81,AS273237,Ingbell Chile SPA,4273.39,1783926544.3271976
http,200.39.137.34,999,Chile,CL,Valparaíso,transparent,true,15.94,AS270024,Iconex SPA,2958.74,1783926539.4438467
http,45.162.132.157,999,Chile,CL,Puente Alto,transparent,true,7.24,AS271843,Lara Ingenieria EN Tecnologia Y Telecomunicaciones Limitada,14326.51,1783926527.9794927
