protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,112.5.33.179,999,China,CN,Guangzhou,elite,true,95.54,AS9808,China Mobile,1381.3,1781446200.172861
socks4,116.233.109.135,1080,China,CN,Shanghai,elite,true,54.3,AS4812,China Telecom (Group),2319.2,1781446199.4472227
socks4,218.90.167.205,1080,China,CN,Wuxi,elite,true,7.46,AS4134,Chinanet,3433.56,1781446197.1743839
socks4,61.191.119.134,10800,China,CN,Hefei,elite,true,15.22,AS4134,Chinanet,4670.72,1781446197.1046422
http,113.208.119.142,9002,China,CN,Beijing,elite,false,95.51,AS4808,China Unicom Beijing Province Network,1199.3,1781446195.4455829
http,101.66.194.141,8085,China,CN,Hangzhou,elite,false,99.86,AS4837,China Unicom Zhejiang Province Network,981.37,1781446192.7780395
socks4,220.167.89.10,10800,China,CN,Chengdu,elite,true,14.73,AS4134,Chinanet,2450.04,1781446188.6623201
http,61.158.175.38,9002,China,CN,Zhengzhou,elite,false,98.09,AS4837,CNC Group CHINA169 Henan Province Network,912.44,1781446187.392551
http,221.231.13.198,1080,China,CN,Nanjing,elite,false,80.4,AS4134,Chinanet,1349.31,1781446185.3279488
http,117.185.82.54,8118,China,CN,Shanghai,elite,false,4.41,AS24400,China Mobile communications corporation,3510.18,1781446184.4272738
socks4,112.87.56.204,1081,China,CN,Suzhou,elite,true,68.92,AS4837,China Unicom CHINA169 Jiangsu Province Network,1739.5,1781446183.5214448
http,115.191.40.196,7890,China,CN,Beijing,elite,false,37.8,AS137718,GWBN-WUHAN's IP,7148.57,1781446179.9710865
http,103.213.97.78,80,China,CN,Changzhou,elite,false,83.72,AS56046,China Unicom Jiangsu Province network,1350.99,1781446179.333391
http,113.204.79.230,9091,China,CN,Jinrongjie,elite,false,97.53,AS4837,CHINA UNICOM China169 Backbone,1078.15,1781446177.9777737
socks4,222.212.85.149,5678,China,CN,Chengdu,elite,true,14.51,AS4134,Chinanet,2972.43,1781446177.6364596
http,61.49.87.3,80,China,CN,Beijing,elite,false,22.89,AS4808,China Unicom Beijing Province Network,2124.88,1781446177.471001
http,153.0.171.163,8085,China,CN,Haikou,elite,false,97.78,AS4837,China Unicom Hainan Province Network,5693.6,1781446175.3893986
socks5,120.133.82.62,44007,China,CN,Chaowai,elite,true,1.58,AS133119,China Unicom IP network,6528.65,1781446171.3336236
http,116.171.106.15,3443,China,CN,Jinrongjie,elite,false,61.62,AS4837,China Unicom CHINA169 Network,15163.32,1781446171.2025337
socks4,58.18.39.58,10800,China,CN,Hohhot,elite,true,14.77,AS4837,CNC Group CHINA169 Neimeng Province Network,4505.66,1781446169.5842986
socks5,120.133.82.62,44050,China,CN,Chaowai,elite,true,1.41,AS133119,China Unicom IP network,26529.54,1781446163.1012616
socks4,106.52.215.138,7890,China,CN,Guangzhou,elite,true,49.55,AS45090,Shenzhen Tencent Computer Systems Company Limited,3793.55,1781446162.425459
http,120.205.70.102,8060,China,CN,Guangzhou,elite,false,13.71,AS9808,China Mobile communications corporation,4157.26,1781446161.925625
http,183.215.23.242,9091,China,CN,Qingyuan,elite,false,97.7,AS56047,China Mobile Communications Corporation,893.73,1781446159.8990917
http,39.172.97.192,8060,China,CN,Jiaxing,elite,false,21.85,AS56041,China Mobile Communications Corporation,1889.84,1781446157.0799375
http,220.197.44.36,3128,China,CN,Jinrongjie,transparent,true,57.72,AS4837,China Unicom Network,6490.22,1781446155.6761298
socks5,106.52.215.138,7890,China,CN,Guangzhou,elite,true,45.84,AS45090,Shenzhen Tencent Computer Systems Company Limited,2748.66,1781446149.8464355
http,61.186.243.6,9002,China,CN,Chongqing,elite,false,57.19,AS4134,Chinanet,4391.46,1781446148.33981
http,101.71.143.237,8092,China,CN,Hangzhou,elite,false,47.31,AS4837,China Unicom Zhejiang Province Network,7892.96,1781446145.982859
socks5,120.133.82.62,44221,China,CN,Chaowai,elite,true,1.97,AS133119,China Unicom IP network,9389.71,1781446138.7231817
http,120.92.211.211,7890,China,CN,Beijing,elite,true,61.78,AS59019,Beijing Kingsoft Cloud Internet Technology Co,5431.63,1781446135.8370628
socks5,111.229.76.29,1080,China,CN,Shanghai,elite,true,66.76,AS45090,Shenzhen Tencent Computer Systems Company Limited,4066.59,1781446132.4587884
socks5,203.25.208.163,1515,China,CN,Guangzhou,elite,true,65.28,AS139220,China Telecom,2154.54,1781446132.2855904
http,115.190.91.223,7897,China,CN,Beijing,elite,false,37.79,AS137718,GWBN-WUHAN's IP,21086.8,1781446131.9515147
socks5,120.133.82.62,44025,China,CN,Chaowai,elite,true,1.77,AS133119,China Unicom IP network,17101.35,1781446104.4557657
socks5,203.25.208.163,1145,China,CN,Guangzhou,elite,true,65.53,AS139220,China Telecom,3143.75,1781446083.125085
socks5,112.87.56.204,1081,China,CN,Suzhou,elite,true,67.21,AS4837,China Unicom CHINA169 Jiangsu Province Network,2850.16,1781446070.5005646
