protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,111.79.111.126,3128,China,CN,Hangzhou,transparent,true,63.77,AS149837,China Telecom,5547.21,1783434564.4970226
http,122.224.198.218,808,China,CN,Hangzhou,elite,false,81.34,AS4134,Chinanet,2047.76,1783434560.884053
http,114.94.148.37,18080,China,CN,Hangzhou,elite,true,85.15,AS4812,China Telecom (Group),3803.14,1783434559.7750692
http,61.158.175.38,9002,China,CN,Zhengzhou,elite,false,98.07,AS4837,CNC Group CHINA169 Henan Province Network,949.25,1783434556.5985687
http,113.204.79.230,9091,China,CN,Jinrongjie,elite,false,97.48,AS4837,CHINA UNICOM China169 Backbone,940.36,1783434554.830717
http,123.138.24.114,8800,China,CN,Xi'an,elite,true,99.23,AS4837,CNC Group CHINA169 Shanni Province Network,1001.46,1783434553.224735
http,220.197.44.36,3128,China,CN,Jinrongjie,transparent,false,59.83,AS4837,China Unicom Network,1736.74,1783434552.3839355
http,112.65.132.181,3128,China,CN,Shanghai,transparent,false,10.81,AS17621,China Unicom CHINA169 Shanghai Province Network,13569.82,1783434549.2257252
http,153.0.171.163,8085,China,CN,Haikou,elite,false,97.96,AS4837,China Unicom Hainan Province Network,3781.13,1783434545.8571231
http,183.215.23.242,9091,China,CN,Qingyuan,elite,false,97.84,AS56047,China Mobile Communications Corporation,919.97,1783434545.2720823
http,101.71.143.237,8092,China,CN,Hangzhou,elite,false,49.74,AS4837,China Unicom Zhejiang Province Network,7172.93,1783434545.1969483
http,183.162.197.197,8060,China,CN,Hefei,elite,false,22.43,AS4134,Chinanet,3054.57,1783434542.7016912
http,118.122.91.59,8080,China,CN,Chengdu,elite,false,26.24,AS4134,Chinanet,14573.64,1783434535.9766133
http,101.5.174.172,7898,China,CN,Haidian,elite,true,26.95,AS4538,CERNET,4240.65,1783434522.2395196
http,61.186.243.6,9002,China,CN,Chongqing,elite,false,57.36,AS4134,Chinanet,1261.49,1783434513.2244253
http,36.136.48.61,995,China,CN,Guangzhou,transparent,true,61.84,AS9808,China Mobile Communications Corporation,3517.18,1783434504.567997
http,61.49.87.3,80,China,CN,Beijing,elite,false,27.89,AS4808,China Unicom Beijing Province Network,1112.76,1783434504.4669023
