protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,61.49.87.3,80,China,CN,Beijing,elite,true,25.53,AS4808,China Unicom Beijing Province Network,776.77,1782492865.7393005
http,118.145.65.241,8118,China,CN,Haidian,elite,true,28.74,AS137718,"Beijing Volcano Engine Technology Co., Ltd.",3944.08,1782492862.9736984
http,120.92.212.16,7890,China,CN,Beijing,elite,true,77.01,AS23724,Beijing Kingsoft Cloud Internet Technology Co,3492.66,1782492861.9839709
http,180.125.216.109,8118,China,CN,Nanjing,elite,true,16.28,AS4134,Chinanet,1249.37,1782492843.8268075
http,101.89.150.168,3128,China,CN,Shanghai,transparent,true,90.43,AS4811,China Telecom (Group),2249.72,1782492836.8977597
http,116.171.106.78,3443,China,CN,Jinrongjie,elite,true,66.88,AS4837,China Unicom CHINA169 Network,3058.14,1782492836.3682065
http,219.156.188.57,9300,China,CN,Zhengzhou,elite,true,27.45,AS4837,CNC Group CHINA169 Henan Province Network,4194.53,1782492836.3235736
http,220.197.44.36,3128,China,CN,Jinrongjie,transparent,true,58.49,AS4837,China Unicom Network,2848.02,1782492835.840015
http,116.171.106.26,3443,China,CN,Jinrongjie,elite,true,68.15,AS4837,China Unicom CHINA169 Network,1083.19,1782492834.3695335
http,122.224.198.218,808,China,CN,Hangzhou,elite,true,79.73,AS4134,Chinanet,15346.92,1782492824.4559143
http,114.94.148.37,18080,China,CN,Hangzhou,elite,true,86.3,AS4812,China Telecom (Group),978.51,1782492816.9134448
http,120.92.212.16,8890,China,CN,Beijing,elite,true,76.25,AS23724,Beijing Kingsoft Cloud Internet Technology Co,4182.78,1782492788.999809
http,120.92.211.211,7890,China,CN,Beijing,elite,true,63.19,AS59019,Beijing Kingsoft Cloud Internet Technology Co,3225.13,1782492774.7999659
http,111.79.111.126,3128,China,CN,Hangzhou,transparent,true,62.11,AS149837,China Telecom,4181.67,1782492764.361399
