protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,122.224.198.218,1080,China,CN,Hangzhou,elite,true,87.09,AS4134,Chinanet,1757.55,1780441767.4537296
socks4,117.175.168.195,1080,China,CN,Guangzhou,elite,true,85.76,AS9808,China Mobile communications corporation,1208.88,1780441765.497864
socks4,222.212.85.149,5678,China,CN,Chengdu,elite,true,12.71,AS4134,Chinanet,4462.06,1780441762.9025176
socks4,171.221.176.137,10800,China,CN,Chengdu,elite,true,48.35,AS4134,Chinanet,2388.9,1780441761.4492478
socks4,160.202.231.11,7890,China,CN,Shiyan,elite,true,64.9,AS146817,"Hubei Feixun Network Co., Ltd",11666.79,1780441757.0738726
socks4,58.18.39.58,10800,China,CN,Hohhot,elite,true,12.34,AS4837,CNC Group CHINA169 Neimeng Province Network,2381.62,1780441754.3266695
socks4,124.16.105.251,10810,China,CN,Chaowai,elite,true,33.38,AS7497,CNIC-CAS,12220.61,1780441753.262388
socks4,222.195.90.92,7898,China,CN,Hefei,elite,true,75.27,AS4538,USTC,1240.48,1780441744.993447
socks4,58.33.109.114,4145,China,CN,Shanghai,elite,true,19.7,AS4812,China Telecom (Group),1374.1,1780441739.84524
socks4,112.98.126.100,45930,China,CN,Harbin,elite,true,60.34,AS4134,Chinanet,2339.89,1780441720.6466134
socks4,61.191.119.134,10800,China,CN,Hefei,elite,true,12.85,AS4134,Chinanet,4306.96,1780441784.8211606
