protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,181.49.22.141,1080,Colombia,CO,Medellín,elite,true,47.89,AS14080,Telmex Colombia S.A.,1821.37,1781335193.517391
socks4,181.204.39.202,53740,Colombia,CO,Bucaramanga,elite,true,55.97,AS13489,EPM Telecomunicaciones S.A. E.S.P.,3946.65,1781335190.393386
socks4,190.145.54.142,1080,Colombia,CO,Medellín,elite,true,60.69,AS14080,Telmex Colombia S.A.,3733.2,1781335188.2924836
socks4,181.204.4.74,5678,Colombia,CO,Cartagena,elite,true,12.36,AS13489,EPM Telecomunicaciones S.A. E.S.P.,3746.13,1781335181.8933804
socks4,181.205.113.218,1080,Colombia,CO,Medellín,elite,true,62.5,AS27831,Colombia Móvil,3859.99,1781335179.4492533
socks4,186.33.57.82,1080,Colombia,CO,Valencia,elite,true,44.9,AS52468,IFX Networks Argentina S.R.L,823.63,1781335179.2812452
http,186.96.111.214,999,Colombia,CO,Bogotá,transparent,true,34.03,AS262186,TV AZTECA SUCURSAL COLOMBIA,6413.05,1781335174.2447984
http,200.10.28.250,999,Colombia,CO,Manizales,transparent,false,10.18,AS270075,Super Redes S.A.S,11636.55,1781335172.2937112
http,177.73.155.246,999,Colombia,CO,Cajibío,transparent,true,11.34,AS264646,Dobleclick Software E Ingeneria,12539.64,1781335164.3719344
http,190.60.47.60,999,Colombia,CO,Malambo,transparent,true,8.8,AS52468,IFX NETWORKS COLOMBIA,9904.93,1781335153.8485942
http,179.1.113.113,999,Colombia,CO,Popayán,transparent,false,78.05,AS18678,Internexa S.a. E.S.P,5631.49,1781335152.2879486
http,38.191.80.23,999,Colombia,CO,Zarzal,transparent,false,13.22,AS273145,Grupo Servinet S.A.S.,10336.89,1781335140.9457555
http,181.119.84.122,8080,Colombia,CO,Cali,transparent,false,29.28,AS52468,IFX Networks Argentina S.R.L,3732.42,1781335140.7479486
http,181.49.100.190,8080,Colombia,CO,Medellín,elite,false,6.49,AS14080,Telmex Colombia S.A.,2666.81,1781335135.2138336
http,190.242.60.137,999,Colombia,CO,Bogotá,transparent,false,16.24,AS262191,Liberty Networks De Colombia,5569.52,1781335133.8079236
http,190.60.32.66,999,Colombia,CO,Guacarí,transparent,false,19.33,AS52468,IFX NETWORKS COLOMBIA,6410.98,1781335129.3635888
http,179.1.126.25,999,Colombia,CO,Quibdó,transparent,true,20.82,AS18678,Internexa S.a. E.S.P,2317.66,1781335116.3252635
http,138.117.85.217,999,Colombia,CO,Pitalito,transparent,false,11.85,AS265688,Sinergy Soluciones Integrales,3945.13,1781335114.535956
http,190.131.205.147,999,Colombia,CO,Cartagena,transparent,false,24.19,AS262191,Liberty Networks De Colombia S.A.S,8334.11,1781335111.2439246
http,190.99.192.158,999,Colombia,CO,Cali,transparent,true,11.45,AS10299,Empresas Municipales De Cali E.i.c.e. E.S.P.,8236.66,1781335108.845588
http,179.1.131.129,8080,Colombia,CO,Durania,transparent,false,11.96,AS18678,Internexa S.a. E.S.P,5511.74,1781335105.212765
http,186.33.57.82,8080,Colombia,CO,Valencia,transparent,false,21.56,AS52468,IFX Networks Argentina S.R.L,1326.72,1781335100.0038328
http,181.204.113.254,11211,Colombia,CO,Barranquilla,transparent,false,28.68,AS13489,EPM Telecomunicaciones S.A. E.S.P.,5373.08,1781335093.8918843
http,181.78.20.11,999,Colombia,CO,Rionegro,transparent,false,11.85,AS52468,IFX Networks Argentina S.R.L,3013.91,1781335089.296224
http,186.97.176.171,999,Colombia,CO,Medellín,transparent,false,43.75,AS27831,Colombia Móvil,2186.93,1781335087.8878546
http,38.19.43.105,999,Colombia,CO,Pereira,transparent,false,22.07,AS270075,Super Redes,6503.79,1781335085.2628794
http,38.224.172.232,9992,Colombia,CO,Florencia,transparent,false,27.16,AS272881,Global NET TV Zomac S.A.S,10184.27,1781335078.348151
http,45.65.137.218,999,Colombia,CO,Cúcuta,transparent,false,19.6,AS273001,Telecomunicaciones Del Catatumbo S.A.S,4249.21,1781335074.9287243
