protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,200.10.29.203,999,Colombia,CO,Villavicencio,transparent,true,14.11,AS270075,Super Redes S.A.S,615.88,1783096790.24387
http,186.148.184.18,999,Colombia,CO,Bogotá,transparent,true,11.99,AS262186,TV AZTECA SUCURSAL COLOMBIA,8725.98,1783096783.6668158
http,38.19.43.1,999,Colombia,CO,Pereira,transparent,true,9.39,AS270075,Super Redes,3666.16,1783096773.768249
http,64.204.90.177,999,Colombia,CO,El Carmen,transparent,true,85.86,AS273894,GTT Americas,5293.62,1783096773.0405245
http,186.155.230.114,999,Colombia,CO,Bogotá,transparent,true,2.61,AS19429,ETB - Colombia,7198.72,1783096769.3027868
http,181.78.73.117,8080,Colombia,CO,Montelíbano,transparent,true,22.73,AS52468,IFX Networks Argentina S.R.L,8779.94,1783096765.1621618
http,181.79.92.5,999,Colombia,CO,Darien,transparent,true,23.03,AS52468,IFX Networks Argentina S.R.L,3134.27,1783096762.642379
http,190.121.135.9,8080,Colombia,CO,Montería,transparent,true,23.82,AS27951,Media Commerce Partners S.A,7962.17,1783096748.3606353
http,179.1.95.213,999,Colombia,CO,Bogotá,transparent,true,7.55,AS18678,Internexa S.a. E.S.P,3358.14,1783096738.8625498
http,8.243.68.187,999,Colombia,CO,Dagua,transparent,true,25.06,AS3356,CTL Colombia,4471.52,1783096738.6198332
http,190.60.34.250,999,Colombia,CO,Andalucía,transparent,true,50.5,AS52468,IFX NETWORKS COLOMBIA,7308.79,1783096736.8813522
http,190.60.61.202,999,Colombia,CO,Barranquilla,transparent,true,12.59,AS52468,IFX NETWORKS COLOMBIA,4646.3,1783096731.6269283
http,8.243.175.14,999,Colombia,CO,Toribío,transparent,true,25.93,AS3356,Cirion Technologies Solutions,13872.28,1783096685.3604057
http,179.1.113.113,999,Colombia,CO,Popayán,transparent,true,72.19,AS18678,Internexa S.a. E.S.P,11887.8,1783096663.9613369
