protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,181.49.22.141,1080,Colombia,CO,Bogotá,elite,true,49.42,AS14080,Telmex Colombia S.A.,1883.2,1782999600.3099244
socks4,181.204.4.74,5678,Colombia,CO,Cartagena,elite,true,14.22,AS13489,EPM Telecomunicaciones S.A. E.S.P.,3850.84,1782999599.4772208
socks4,38.191.204.37,43496,Colombia,CO,Villavicencio,elite,true,54.6,AS273134,Hola Telecomunicacines Colombia S.A.S,3847.74,1782999597.6688771
socks4,190.144.224.182,44550,Colombia,CO,Bosa,elite,true,15.53,AS14080,Telmex Colombia S.A.,1730.05,1782999597.3019326
socks4,38.191.204.40,43496,Colombia,CO,Villavicencio,elite,true,75.67,AS273134,Hola Telecomunicacines Colombia S.A.S,7976.27,1782999594.9292161
socks4,201.221.134.74,5678,Colombia,CO,Bucaramanga,elite,true,25.11,AS22368,Telebucaramanga S.a. E.S.P.,8323.64,1782999593.6087806
socks4,186.1.182.194,4153,Colombia,CO,Santa Marta,elite,true,51.94,AS27837,Dialnet de Colombia S.A. E.S.P.,1805.49,1782999593.4191725
socks4,190.145.54.142,1080,Colombia,CO,Bogotá,elite,true,60.72,AS14080,Telmex Colombia S.A.,7819.58,1782999593.2481349
socks4,181.204.39.202,53740,Colombia,CO,Cúcuta,elite,true,53.28,AS13489,EPM Telecomunicaciones S.A. E.S.P.,8123.63,1782999589.9973063
socks4,181.143.59.140,4153,Colombia,CO,Medellín,elite,true,14.28,AS13489,EPM Telecomunicaciones S.A. E.S.P.,1844.54,1782999578.3301215
socks4,38.191.204.194,43496,Colombia,CO,Villavicencio,elite,true,38.69,AS273134,Hola Telecomunicacines Colombia S.A.S,7953.9,1782999575.469757
socks4,38.191.204.174,43496,Colombia,CO,Villavicencio,elite,true,36.83,AS273134,Hola Telecomunicacines Colombia S.A.S,3845.8,1782999567.1213179
socks4,38.191.204.36,43496,Colombia,CO,Villavicencio,elite,true,51.25,AS273134,Hola Telecomunicacines Colombia S.A.S,7870.45,1782999559.4493146
