protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,85.132.139.45,4153,Czechia,CZ,Slavkov u Brna,elite,true,69.1,AS205400,GIN's network,1081.8,1783217983.9383545
socks4,78.111.112.118,4145,Czechia,CZ,Kryry,elite,true,39.0,AS47232,ISP Alliance a.s.,78.73,1783217980.6949868
socks4,109.108.126.166,1080,Czechia,CZ,Lanškroun,elite,true,91.46,AS42908,"O2 Czech Republic, a.s.",168.4,1783217965.8907387
http,77.240.97.77,8080,Czechia,CZ,Dobříš,transparent,true,23.97,AS42189,DOBRISNET,3153.9,1783217964.7278664
http,188.119.98.126,9999,Czechia,CZ,Strážnice,transparent,true,12.16,AS42908,"O2 Czech Republic, a.s.",3571.93,1783217946.4680936
http,185.82.238.42,8888,Czechia,CZ,Šebetov,transparent,false,8.32,AS42908,"O2 Czech Republic, a.s.",5752.83,1783217944.212064
http,91.139.78.174,3128,Czechia,CZ,Pilsen,transparent,true,16.1,AS13036,T-Mobile Czech Republic a.s.,6001.9,1783217925.8316562
socks5,91.184.250.2,9050,Czechia,CZ,Veselí nad Lužnicí,elite,true,37.53,AS62212,SmartApe OU,5684.03,1783217886.4496732
http,90.181.120.18,8082,Czechia,CZ,Prague,transparent,false,62.91,AS5610,"Telefonica O2 Czech Republic, a.s.",6542.95,1783217861.50381
http,147.231.163.133,80,Czechia,CZ,Prague,anonymous,false,84.15,AS2852,CESNET z.s.p.o.,40.6,1783217834.921113
