protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,144.31.69.180,9050,Germany,DE,Frankfurt am Main,elite,true,21.81,AS213877,U1 DIGITAL SERVICES LTD,279.08,1780845582.2537656
socks4,89.163.206.215,9050,Germany,DE,Düsseldorf,elite,true,35.77,AS24961,WIIT AG,278.02,1780845581.0161989
socks4,2.26.98.24,1080,Germany,DE,Frankfurt am Main,elite,true,30.88,AS215439,Ace Data Centers II,1107.63,1780845577.9701977
socks4,168.119.173.104,47486,Germany,DE,Nuremberg,elite,true,58.79,AS24940,Hetzner Online GmbH,2280.09,1780845576.3736484
socks4,138.124.51.85,1080,Germany,DE,Frankfurt am Main,elite,true,23.0,AS210644,Aeza International LTD,2124.51,1780845576.288245
socks5,168.119.173.104,47486,Germany,DE,Nuremberg,elite,true,35.42,AS24940,Hetzner Online GmbH,2265.49,1780845575.5960674
socks4,144.31.255.9,1080,Germany,DE,Frankfurt am Main,elite,true,29.29,AS213877,U1 DIGITAL SERVICES LTD,687.16,1780845575.2817008
http,89.58.55.33,80,Germany,DE,Nuremberg,elite,false,95.58,AS197540,netcup GmbH,33.44,1780845572.6052904
socks4,147.45.216.35,9443,Germany,DE,Frankfurt am Main,elite,true,34.24,AS213843,Koara International Limited,8660.54,1780845572.399931
socks5,150.241.106.113,1080,Germany,DE,Frankfurt am Main,elite,true,85.74,AS215590,DpkgSoft International Limited,4677.28,1780845571.537951
socks5,147.45.216.35,8443,Germany,DE,Frankfurt am Main,elite,true,34.49,AS213843,Koara International Limited,9283.93,1780845571.4713418
socks4,43.165.6.179,1080,Germany,DE,Frankfurt am Main,elite,true,89.71,AS132203,Shenzhen Tencent Computer Systems Company Limited,221.05,1780845570.4112692
socks5,167.71.42.89,1080,Germany,DE,Frankfurt am Main,elite,true,89.43,AS14061,"DigitalOcean, LLC",103.88,1780845569.8774877
socks4,144.31.189.114,1080,Germany,DE,Frankfurt am Main,elite,true,43.43,AS216127,International Hosting Company Limited,3191.94,1780845569.8692183
http,217.145.227.122,8888,Germany,DE,Frankfurt am Main,elite,true,39.72,AS205775,Neon Core Network LLC,478.13,1780845566.5720127
socks5,194.13.80.204,1080,Germany,DE,Nuremberg,elite,true,76.12,AS197540,netcup GmbH,2706.85,1780845565.2443428
socks5,185.125.102.149,1080,Germany,DE,Frankfurt Am Main,elite,true,99.95,AS210644,xorek.cloud International LTD,34.75,1780845565.2374413
socks4,138.124.93.170,1081,Germany,DE,Frankfurt am Main,elite,true,73.9,AS210644,Aeza International LTD,5041.25,1780845564.1927981
http,141.98.153.86,80,Germany,DE,Karlsruhe,elite,false,85.84,AS51167,Contabo GmbH,73.69,1780845563.930433
socks4,194.13.80.204,1080,Germany,DE,Nuremberg,elite,true,82.47,AS197540,netcup GmbH,1761.41,1780845562.5493026
socks4,140.82.35.234,44444,Germany,DE,Frankfurt am Main,elite,true,10.39,AS20473,The Constant Company,10679.2,1780845561.4411128
socks5,185.108.76.197,9050,Germany,DE,Berlin,elite,true,13.9,AS206028,Infra1 Managed-services,2346.53,1780845561.0060418
http,138.201.198.53,80,Germany,DE,Falkenstein,elite,false,69.74,AS24940,Hetzner Online GmbH,36.03,1780845558.7476041
socks4,45.129.242.58,1080,Germany,DE,Düsseldorf,elite,true,91.6,AS199058,Serva ONE LTD,1304.6,1780845558.1461964
socks4,72.56.106.48,1080,Germany,DE,Frankfurt am Main,elite,true,44.97,AS210976,"Timeweb, LLP",8650.75,1780845558.0334146
socks4,147.45.216.35,8081,Germany,DE,Frankfurt am Main,elite,true,23.88,AS213843,Koara International Limited,10856.14,1780845557.0172598
socks4,91.107.228.234,1052,Germany,DE,Frankfurt Am Main,elite,true,63.21,AS24940,Hetzner Online AG,11315.74,1780845556.3511229
socks4,95.164.123.243,9050,Germany,DE,Frankfurt am Main,elite,true,16.72,AS213702,Qwins LTD,452.72,1780845555.557231
http,85.234.100.149,1080,Germany,DE,Frankfurt am Main,elite,true,87.81,AS215540,Global Connectivity Solutions LLP,70.3,1780845555.158447
socks5,138.124.51.85,1080,Germany,DE,Frankfurt am Main,elite,true,23.53,AS210644,Aeza International LTD,982.33,1780845554.3425608
socks5,109.237.97.176,36090,Germany,DE,Frankfurt am Main,elite,true,33.5,AS216127,International Hosting Company Limited,8262.11,1780845553.2878997
socks4,157.90.234.5,443,Germany,DE,Nuremberg,elite,true,48.92,AS24940,Hetzner Online GmbH,1458.61,1780845551.958033
socks4,84.21.173.170,1080,Germany,DE,Frankfurt am Main,elite,true,43.73,AS215439,Play2go International Limited,4315.73,1780845550.8205082
http,138.2.156.101,3128,Germany,DE,Frankfurt am Main,transparent,true,96.88,AS31898,Oracle Corporation,1010.21,1780845550.105008
socks5,152.53.144.223,1080,Germany,DE,Karlsruhe,elite,true,97.23,AS197540,netcup GmbH,156.48,1780845548.9372952
socks5,178.63.155.151,8978,Germany,DE,Falkenstein,elite,true,26.7,AS24940,Hetzner Online GmbH,5596.71,1780845548.5253272
socks5,178.63.155.151,8903,Germany,DE,Falkenstein,elite,true,26.77,AS24940,Hetzner Online GmbH,3131.87,1780845548.0097558
http,217.160.162.25,8888,Germany,DE,Berlin,transparent,true,8.84,AS8560,IONOS SE,4657.35,1780845547.7443566
socks4,158.94.208.76,9050,Germany,DE,Frankfurt am Main,elite,true,37.85,AS202412,Omegatech LTD,2974.89,1780845547.5651
socks5,89.163.206.215,9050,Germany,DE,Düsseldorf,elite,true,23.74,AS24961,WIIT AG,6070.27,1780845547.480563
socks4,5.75.168.247,8053,Germany,DE,Nuremberg,elite,true,45.42,AS24940,Hetzner Online GmbH,12978.23,1780845545.5242004
socks4,5.75.168.247,8024,Germany,DE,Nuremberg,elite,true,44.43,AS24940,Hetzner Online GmbH,10385.73,1780845545.4311054
socks5,144.31.189.114,1080,Germany,DE,Frankfurt am Main,elite,true,40.35,AS216127,International Hosting Company Limited,1967.16,1780845544.4698017
socks5,5.75.168.247,8070,Germany,DE,Nuremberg,elite,true,38.5,AS24940,Hetzner Online GmbH,19291.06,1780845544.3829393
socks5,95.164.123.243,9050,Germany,DE,Frankfurt am Main,elite,true,10.54,AS213702,Qwins LTD,10909.18,1780845543.0126665
