protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,138.124.114.42,7443,Germany,DE,Frankfurt am Main,elite,true,91.26,AS210644,Aeza International LTD,23.59,1782358188.4833205
http,159.195.49.27,8888,Germany,DE,Nuremberg,elite,true,99.26,AS197540,netcup GmbH,45.59,1782358181.5810378
http,185.161.251.195,3128,Germany,DE,Frankfurt am Main,transparent,true,62.56,AS215540,Global Connectivity Solutions LLP,1079.88,1782358179.7496333
http,47.91.65.23,3128,Germany,DE,Frankfurt am Main,elite,true,73.69,AS45102,Alibaba.com LLC,34.36,1782358174.8047197
http,108.165.236.206,3128,Germany,DE,Frankfurt am Main,elite,true,29.23,AS213529,Sculk Ltd,1690.84,1782358170.9465618
http,80.74.54.148,3128,Germany,DE,Grefrath,anonymous,false,83.7,AS60294,Deutsche Glasfaser Wholesale GmbH,7533.3,1782358169.460224
http,141.98.153.86,80,Germany,DE,Karlsruhe,elite,false,86.46,AS51167,Contabo GmbH,75.65,1782358166.816037
http,77.221.156.241,7443,Germany,DE,Frankfurt am Main,elite,true,97.62,AS210644,Aeza International LTD,168.65,1782358161.2498603
http,5.9.144.136,3128,Germany,DE,Falkenstein,elite,false,99.92,AS24940,Hetzner Online GmbH,5063.4,1782358151.68951
http,91.107.182.124,82,Germany,DE,Frankfurt Am Main,elite,false,85.14,AS24940,Hetzner Online AG,2973.2,1782358151.5347238
http,45.155.102.216,3128,Germany,DE,Frankfurt am Main,transparent,true,59.61,AS57043,Hostkey B.V.,15370.61,1782358150.7615051
http,150.241.116.167,443,Germany,DE,Frankfurt am Main,elite,true,94.42,AS215590,DpkgSoft International Limited,45.26,1782358145.535632
http,85.192.28.62,7443,Germany,DE,Frankfurt am Main,elite,true,97.87,AS210644,Aeza International LTD,10.71,1782358142.1922858
http,85.192.28.47,7443,Germany,DE,Frankfurt am Main,elite,true,97.95,AS210644,Aeza International LTD,11.64,1782358134.0537605
http,84.21.173.170,3128,Germany,DE,Frankfurt am Main,elite,true,23.19,AS215439,Play2go International Limited,4705.85,1782358124.380727
http,148.251.86.76,16379,Germany,DE,Falkenstein,elite,false,22.49,AS24940,Hetzner Online GmbH,13241.7,1782358105.080842
http,79.76.121.87,3128,Germany,DE,Frankfurt am Main,transparent,false,37.58,AS31898,Oracle Corporation,3077.98,1782358096.3817592
http,206.81.30.62,3128,Germany,DE,Frankfurt am Main,elite,true,47.33,AS14061,"DigitalOcean, LLC",7281.19,1782358190.36864
