protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,159.195.49.27,8888,Germany,DE,Nuremberg,elite,true,100.0,AS197540,netcup GmbH,49.35,1782283496.6458557
http,108.165.236.206,3128,Germany,DE,Frankfurt am Main,elite,true,29.35,AS213529,Sculk Ltd,3594.02,1782283495.047438
http,91.107.182.124,84,Germany,DE,Frankfurt Am Main,elite,true,61.94,AS24940,Hetzner Online AG,93.92,1782283487.714525
http,144.31.73.173,3128,Germany,DE,Frankfurt am Main,elite,true,71.72,AS213877,U1 DIGITAL SERVICES LTD,8.48,1782283475.351353
http,130.61.117.184,8888,Germany,DE,Frankfurt am Main,elite,true,21.27,AS31898,Oracle Corporation,5802.05,1782283469.5083575
http,147.45.70.219,1234,Germany,DE,Frankfurt am Main,elite,true,96.67,AS210644,Aeza International LTD,13.22,1782283465.702162
http,85.192.28.62,7443,Germany,DE,Frankfurt am Main,elite,true,97.75,AS210644,Aeza International LTD,57.57,1782283465.6459641
http,91.107.182.124,82,Germany,DE,Frankfurt Am Main,elite,true,85.71,AS24940,Hetzner Online AG,5148.87,1782283463.3124285
http,45.155.102.216,3128,Germany,DE,Frankfurt am Main,transparent,true,60.46,AS57043,Hostkey B.V.,7383.97,1782283462.146342
http,85.234.100.149,1080,Germany,DE,Frankfurt am Main,elite,true,82.0,AS215540,Global Connectivity Solutions LLP,8600.78,1782283458.5600963
http,143.20.37.77,3128,Germany,DE,Frankfurt am Main,elite,true,32.59,AS215703,Freakhosting LTD,8563.06,1782283458.0391045
http,217.160.162.25,8888,Germany,DE,Berlin,transparent,true,9.69,AS8560,IONOS SE,12515.84,1782283453.3334577
http,3.75.179.37,3128,Germany,DE,Frankfurt am Main,transparent,true,64.68,AS16509,Amazon Technologies Inc.,12660.49,1782283451.3480089
http,77.221.156.241,7443,Germany,DE,Frankfurt am Main,elite,true,97.6,AS210644,Aeza International LTD,1050.9,1782283450.7207413
http,85.192.28.47,7443,Germany,DE,Frankfurt am Main,elite,true,97.86,AS210644,Aeza International LTD,1024.34,1782283448.3056352
http,185.161.251.195,3128,Germany,DE,Frankfurt am Main,transparent,true,62.5,AS215540,Global Connectivity Solutions LLP,5.58,1782283442.6076696
http,47.91.65.23,3128,Germany,DE,Frankfurt am Main,elite,true,73.65,AS45102,Alibaba.com LLC,284.48,1782283441.2458022
http,84.247.171.137,3128,Germany,DE,Düsseldorf,transparent,true,13.15,AS51167,Contabo GmbH,6908.4,1782283437.3361409
http,5.9.144.136,3128,Germany,DE,Falkenstein,elite,true,99.89,AS24940,Hetzner Online GmbH,283.92,1782283423.8867574
http,138.124.114.42,7443,Germany,DE,Frankfurt am Main,elite,true,91.28,AS210644,Aeza International LTD,13.98,1782283420.632451
http,148.251.87.79,16379,Germany,DE,Falkenstein,elite,true,66.71,AS24940,Hetzner Online GmbH,9920.6,1782283419.5721524
http,46.203.233.116,3128,Germany,DE,Frankfurt am Main,elite,true,60.38,AS215703,Freakhosting LTD,5381.72,1782283413.8873894
http,194.58.33.7,3128,Germany,DE,Frankfurt am Main,elite,true,66.49,AS216127,International Hosting Company Limited,793.81,1782283412.3079183
http,82.22.184.158,3128,Germany,DE,Frankfurt am Main,transparent,true,30.74,AS215703,Freakhosting LTD,10842.99,1782283400.3518152
http,176.94.224.86,8080,Germany,DE,Düsseldorf,transparent,true,25.08,AS3209,Vodafone GmbH,3285.85,1782283399.0359704
http,62.133.60.5,3128,Germany,DE,Frankfurt am Main,transparent,true,36.0,AS215540,Global Connectivity Solutions LLP,13395.64,1782283395.1159232
http,188.245.92.172,10808,Germany,DE,Falkenstein,elite,true,58.44,AS24940,Hetzner Online GmbH,6103.2,1782283393.9761682
http,148.251.86.68,16379,Germany,DE,Falkenstein,elite,true,26.0,AS24940,Hetzner Online GmbH,10107.89,1782283365.988638
http,148.251.86.76,16379,Germany,DE,Falkenstein,elite,true,22.37,AS24940,Hetzner Online GmbH,10347.42,1782283339.2493205
http,206.81.30.62,3128,Germany,DE,Frankfurt am Main,elite,true,48.46,AS14061,"DigitalOcean, LLC",8368.35,1782283070.6471965
