protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.75.81.146,999,Dominican Republic,DO,Santo Domingo,transparent,false,8.98,AS273217,Cogent Communications,2189.89,1780938881.8969345
http,38.159.223.159,999,Dominican Republic,DO,Santa Cruz de El Seibo,transparent,false,15.92,AS272083,"REYNOSO, S.R.L",14006.87,1780938854.2078452
http,38.196.221.146,999,Dominican Republic,DO,Guerra,transparent,false,23.66,AS273217,Cogent Communications,3781.63,1780938829.2858515
http,38.224.150.83,999,Dominican Republic,DO,Los Alcarrizos,transparent,false,14.62,AS273864,Aaronka Dominicana SRL,4299.18,1780938816.7924943
http,38.75.82.219,999,Dominican Republic,DO,Santo Domingo,transparent,false,32.07,AS273217,Cogent Communications,7212.79,1780938800.59275
http,38.75.82.216,999,Dominican Republic,DO,Santo Domingo,transparent,false,32.0,AS273217,Cogent Communications,3855.68,1780938796.9424496
http,38.188.247.12,999,Dominican Republic,DO,Fantino,transparent,true,45.44,AS272083,"REYNOSO, S.R.L.",5716.21,1780938789.7808368
http,38.75.81.174,999,Dominican Republic,DO,Santo Domingo,transparent,false,16.41,AS273217,Cogent Communications,3651.5,1780938782.8331358
http,190.110.34.225,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,false,17.75,AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L",2251.31,1780938738.8772233
http,200.125.170.221,999,Dominican Republic,DO,Mejía de Navarrete,transparent,false,5.68,AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L",10007.07,1780938807.5070884
