protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.156.23.108,999,Dominican Republic,DO,Puerto Plata,transparent,false,19.58,AS64134,Visnetwork SRL,6419.16,1780673378.068051
http,38.156.23.30,999,Dominican Republic,DO,Puerto Plata,transparent,false,9.0,AS64134,Visnetwork SRL,9109.23,1780673369.143623
http,38.253.86.171,999,Dominican Republic,DO,Maimón,transparent,false,7.03,AS273048,Cogent Communications,5336.66,1780673368.3078935
http,38.224.150.82,999,Dominican Republic,DO,Los Alcarrizos,transparent,false,18.12,AS273864,Aaronka Dominicana SRL,9496.04,1780673319.6127172
http,38.75.80.32,999,Dominican Republic,DO,Santo Domingo,transparent,false,30.38,AS16413,Cogent Communications,4847.05,1780673317.528487
http,38.156.23.225,999,Dominican Republic,DO,Puerto Plata,transparent,false,6.71,AS64134,Visnetwork SRL,843.96,1780673314.7116377
http,38.75.81.149,8080,Dominican Republic,DO,Santo Domingo,transparent,true,9.27,AS273217,Cogent Communications,7154.16,1780673288.3169384
http,38.156.235.236,999,Dominican Republic,DO,Santo Domingo,transparent,false,21.63,AS272882,"BITNET DOMINICANA, S.R.L",7783.48,1780673283.4033003
http,190.94.102.251,999,Dominican Republic,DO,Santo Domingo,transparent,true,33.8,AS28118,Altice Dominicana S.A.,6339.72,1780673278.5192192
http,38.253.88.242,999,Dominican Republic,DO,Santiago de los Caballeros,anonymous,false,16.07,AS272027,Cogent Communications,3724.99,1780673269.8691545
http,38.75.82.215,999,Dominican Republic,DO,Santo Domingo,transparent,false,33.07,AS273217,Cogent Communications,11163.35,1780673257.292476
http,38.75.82.216,999,Dominican Republic,DO,Santo Domingo,transparent,false,33.14,AS273217,Cogent Communications,2775.8,1780673246.3043735
http,38.75.82.221,999,Dominican Republic,DO,Santo Domingo,transparent,false,44.29,AS273217,Cogent Communications,4340.16,1780673200.9081028
http,38.75.82.212,999,Dominican Republic,DO,Santo Domingo,transparent,false,32.38,AS273217,Cogent Communications,6257.78,1780673318.595341
