protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.75.82.211,999,Dominican Republic,DO,Santo Domingo,transparent,true,24.2,AS273217,Cogent Communications,1735.45,1783560255.8590844
http,38.156.236.88,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,46.6,AS272882,"BITNET DOMINICANA, S.R.L",9063.5,1783560236.4712245
http,38.75.81.171,999,Dominican Republic,DO,Santo Domingo,transparent,true,14.76,AS273217,Cogent Communications,3202.66,1783560236.0382519
http,38.156.238.76,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,5.63,AS272882,"BITNET DOMINICANA, S.R.L",401.19,1783560232.2598782
http,38.156.233.220,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,17.47,AS272882,"BITNET DOMINICANA, S.R.L",3010.15,1783560228.3373392
http,149.2.82.196,999,Dominican Republic,DO,Santo Domingo,transparent,true,15.13,AS272112,"TELECABLE DOMINICANO, S.A.",2981.55,1783560227.2490222
http,190.94.102.251,999,Dominican Republic,DO,Santo Domingo,transparent,true,26.49,AS28118,Altice Dominicana S.A.,8875.43,1783560198.2138143
http,45.176.99.58,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,77.66,AS267846,"Cable Onda Oriental, SRL",4731.58,1783560165.8398976
http,38.156.236.89,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,46.74,AS272882,"BITNET DOMINICANA, S.R.L",4156.21,1783560164.8863983
http,38.50.165.124,999,Dominican Republic,DO,El Pino,transparent,true,40.52,AS273009,"NEXTELECOM, S.R.L",13696.5,1783560163.5538466
