protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,177.234.211.175,999,Ecuador,EC,Guayaquil,transparent,true,12.74,AS272954,VUELATECHNOLOGY,1539.96,1781407487.9181347
http,190.95.132.189,999,Ecuador,EC,Puerto Limón,transparent,false,12.7,AS27947,Telconet S.A,5247.49,1781407486.5838542
http,45.70.236.194,999,Ecuador,EC,Pueblo Viejo,transparent,false,38.21,AS52468,Ufinet Panama S.A.,4218.88,1781407483.5398204
http,177.234.217.237,999,Ecuador,EC,Quito,transparent,true,28.21,AS52468,Ufinet Panama S.A.,4648.85,1781407479.8661466
http,45.70.200.146,999,Ecuador,EC,Yantzaza,transparent,true,21.36,AS52468,Ufinet Panama S.A.,3295.78,1781407479.819844
http,177.234.210.47,999,Ecuador,EC,Cumandá,transparent,true,14.32,AS52468,Ufinet Panama S.A.,7748.8,1781407478.6032696
http,157.100.12.152,999,Ecuador,EC,Guayaquil,transparent,false,36.04,AS27947,Telconet S.A,9115.83,1781407478.5801446
http,45.229.16.188,999,Ecuador,EC,Vinces,transparent,false,27.47,AS271967,Turbonet S.A.,10144.04,1781407477.3718677
http,181.224.175.240,999,Ecuador,EC,Naranjal,transparent,false,8.44,AS273141,Micarmita S.A.S,10232.06,1781407474.6558878
http,181.198.75.186,999,Ecuador,EC,Guayaquil,transparent,false,21.51,AS27947,Telconet S.A,5799.85,1781407472.4878302
http,190.12.150.244,999,Ecuador,EC,Quininde,transparent,true,57.23,AS271795,Servitelconet Cia. Ltda.,10190.33,1781407469.8505895
http,45.71.186.213,999,Ecuador,EC,Guayaquil,transparent,false,39.56,AS52468,Ufinet Panama S.A.,6880.85,1781407469.7222955
http,177.234.247.238,999,Ecuador,EC,Santo Domingo de los Colorados,transparent,false,28.24,AS52468,Ufinet Panama S.A.,12883.47,1781407468.4238942
http,186.5.94.216,999,Ecuador,EC,Santo Domingo de los Colorados,transparent,false,9.84,AS27947,Telconet S.A,7829.61,1781407467.507806
http,181.78.205.161,999,Ecuador,EC,Portoviejo,transparent,true,21.68,AS264668,Ufinet Panama S.A.,5555.52,1781407465.3083212
http,45.4.202.147,999,Ecuador,EC,Guayaquil,transparent,false,12.79,AS263238,Eliana Vanessa Morocho Oña,2836.41,1781407459.4078555
http,45.71.114.185,999,Ecuador,EC,Guayaquil,transparent,true,25.19,AS52468,Ufinet Panama S.A.,7838.42,1781407457.259182
http,177.234.211.31,999,Ecuador,EC,Guayaquil,transparent,false,7.56,AS272954,VUELATECHNOLOGY,11372.23,1781407456.7202144
http,177.234.217.235,999,Ecuador,EC,Quito,transparent,true,34.25,AS52468,Ufinet Panama S.A.,7036.19,1781407455.7313685
http,181.224.175.204,999,Ecuador,EC,Naranjal,transparent,true,25.3,AS273141,Micarmita S.A.S,1419.35,1781407455.0318675
http,177.234.226.83,1994,Ecuador,EC,Manta,transparent,false,9.56,AS264668,Ufinet Panama S.A.,6624.19,1781407449.8119636
http,177.234.217.238,999,Ecuador,EC,Quito,transparent,false,23.94,AS52468,Ufinet Panama S.A.,3921.41,1781407441.9302702
http,45.71.186.210,999,Ecuador,EC,Guayaquil,transparent,false,39.1,AS52468,Ufinet Panama S.A.,8282.96,1781407436.0023148
http,177.234.217.236,999,Ecuador,EC,Quito,transparent,false,28.76,AS52468,Ufinet Panama S.A.,4887.9,1781407419.387477
http,45.229.17.17,999,Ecuador,EC,Baba,transparent,false,15.44,AS271967,Turbonet S.A.,5394.14,1781407418.540906
http,45.224.153.245,999,Ecuador,EC,Tonchigüe,transparent,false,16.79,AS52468,Ufinet Panama S.A.,5401.12,1781407393.7358165
http,181.224.175.200,999,Ecuador,EC,Naranjal,transparent,false,25.57,AS273141,Micarmita S.A.S,2562.78,1781407360.5724716
http,157.100.69.19,999,Ecuador,EC,Guayaquil,transparent,false,12.53,AS52468,Ufinet Panama S.A.,4558.19,1781407331.397223
http,181.78.203.3,999,Ecuador,EC,Quito,transparent,false,12.7,AS52468,Ufinet Panama S.A.,2965.52,1781407323.1119056
http,205.235.1.37,999,Ecuador,EC,Guayaquil,transparent,false,46.0,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,4890.19,1781407471.5758965
http,200.24.130.149,999,Ecuador,EC,Tres Postes,transparent,false,35.19,AS52468,Ufinet Panama S.A.,2710.09,1781407466.956749
http,160.20.165.12,6248,Ecuador,EC,Guayaquil,transparent,false,7.62,AS52468,Ufinet Panama S.A.,4168.37,1781407426.648313
http,66.231.77.62,999,Ecuador,EC,Cuenca,transparent,false,13.18,AS267699,Cubotelecom Cia. Ltda.,9911.4,1781407423.3023705
http,66.231.77.61,999,Ecuador,EC,Cuenca,transparent,false,15.09,AS267699,Cubotelecom Cia. Ltda.,3616.7,1781407403.6681821
http,200.24.130.146,999,Ecuador,EC,Guayaquil,transparent,false,33.9,AS52468,Ufinet Panama S.A.,5321.72,1781407392.1118932
http,205.235.1.39,999,Ecuador,EC,Guayaquil,transparent,false,29.52,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,6897.91,1781407380.4884574
http,200.24.153.151,999,Ecuador,EC,Cuenca,transparent,false,6.65,AS52468,Ufinet Panama S.A.,5533.73,1781407347.3005528
