protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,186.101.251.197,8080,Ecuador,EC,Guayaquil,transparent,true,10.22,AS27947,Telconet S.A,2106.13,1781930653.6954668
http,181.224.175.200,999,Ecuador,EC,Naranjal,transparent,false,23.42,AS273141,Micarmita S.A.S,3398.32,1781930652.52967
http,177.234.217.235,999,Ecuador,EC,Quito,transparent,false,34.67,AS52468,Ufinet Panama S.A.,3899.03,1781930651.7318988
http,186.33.40.17,999,Ecuador,EC,Cumandá,transparent,false,10.24,AS52468,Ufinet Panama S.A.,3881.39,1781930644.3608108
http,200.24.130.145,999,Ecuador,EC,Guayaquil,transparent,true,34.35,AS52468,Ufinet Panama S.A.,11622.18,1781930630.0998764
http,157.100.33.235,999,Ecuador,EC,Cuenca,transparent,true,23.97,AS27947,Telconet S.A,12315.05,1781930626.1500094
http,186.5.94.206,999,Ecuador,EC,Manta,transparent,true,74.06,AS27947,Telconet S.A,5309.39,1781930625.4539313
http,181.224.175.204,999,Ecuador,EC,Naranjal,transparent,false,26.31,AS273141,Micarmita S.A.S,6763.3,1781930624.2631412
http,177.234.210.47,999,Ecuador,EC,Cumandá,transparent,true,14.67,AS52468,Ufinet Panama S.A.,3843.99,1781930623.6102505
http,45.229.17.1,999,Ecuador,EC,Vinces,transparent,false,10.83,AS271967,Turbonet S.A.,5375.87,1781930622.2793021
http,186.5.121.106,999,Ecuador,EC,Quito,transparent,false,20.94,AS27947,Telconet S.A,7167.97,1781930618.9070613
http,181.78.195.137,999,Ecuador,EC,Naranjito,transparent,false,43.89,AS52468,Ufinet Panama S.A.,5163.13,1781930618.4423952
http,200.24.153.79,8080,Ecuador,EC,Portoviejo,transparent,false,28.17,AS52468,Negocios Y Telefonia Nedetel S.A,16147.11,1781930618.2257707
http,45.229.17.74,999,Ecuador,EC,Echeandia,transparent,false,9.39,AS271967,Turbonet S.A.,7598.49,1781930613.1381795
http,181.78.204.33,999,Ecuador,EC,Guayaquil,transparent,false,15.24,AS52468,Ufinet Panama S.A.,8918.73,1781930612.8024805
http,181.224.175.240,999,Ecuador,EC,Naranjal,transparent,false,8.57,AS273141,Micarmita S.A.S,11478.27,1781930612.3163419
http,190.12.150.244,999,Ecuador,EC,Quininde,transparent,false,59.91,AS271795,Servitelconet Cia. Ltda.,10894.46,1781930604.6718676
http,177.234.212.131,999,Ecuador,EC,Quito,transparent,true,16.63,AS52468,Ufinet Panama S.A.,3339.58,1781930603.5992641
http,177.234.217.236,999,Ecuador,EC,Quito,transparent,false,29.2,AS52468,Ufinet Panama S.A.,18182.62,1781930603.5321305
http,177.234.212.132,999,Ecuador,EC,Quito,transparent,false,15.31,AS52468,Ufinet Panama S.A.,4295.76,1781930602.58405
http,200.24.130.147,999,Ecuador,EC,Guayaquil,transparent,false,33.71,AS52468,Ufinet Panama S.A.,4998.26,1781930598.9903996
http,201.182.242.4,999,Ecuador,EC,Saraguro,transparent,false,5.88,AS270009,Gualan Japon Luis Joaquin,12298.79,1781930593.521465
http,177.234.247.238,999,Ecuador,EC,Santo Domingo de los Colorados,transparent,false,28.65,AS52468,Ufinet Panama S.A.,7964.26,1781930590.3838172
http,45.4.200.67,999,Ecuador,EC,Jipijapa,transparent,false,10.96,AS263238,GEDATECU SA,5863.72,1781930587.309007
http,177.234.192.15,999,Ecuador,EC,Guayaquil,transparent,false,4.08,AS52468,Ufinet Panama S.A.,6105.88,1781930572.334421
http,45.70.236.194,999,Ecuador,EC,Portoviejo,transparent,true,38.55,AS52468,Ufinet Panama S.A.,12616.76,1781930566.4197862
http,200.24.152.222,999,Ecuador,EC,Portoviejo,transparent,false,18.44,AS52468,Negocios Y Telefonia Nedetel S.A,4609.5,1781930562.344625
http,201.182.85.12,999,Ecuador,EC,Nueva Loja,transparent,false,13.97,AS265799,Expertservi S.A.,8067.44,1781930561.375993
http,181.198.75.186,999,Ecuador,EC,Guayaquil,transparent,false,21.37,AS27947,Telconet S.A,3095.29,1781930554.9762437
http,177.234.217.238,999,Ecuador,EC,Quito,transparent,false,24.12,AS52468,Ufinet Panama S.A.,10390.52,1781930539.935737
http,190.83.15.241,999,Ecuador,EC,Zamora,transparent,false,8.7,AS269935,TAPIA FLORES OSCAR ALDO (FIBRANET ZAMORA),19142.95,1781930533.7404761
http,45.229.17.17,999,Ecuador,EC,Baba,transparent,false,16.25,AS271967,Turbonet S.A.,11187.58,1781930528.5998495
http,177.234.217.17,999,Ecuador,EC,Quito,transparent,false,15.27,AS52468,Ufinet Panama S.A.,4562.39,1781930522.5345485
http,200.24.141.161,999,Ecuador,EC,Pujilí,transparent,false,4.92,AS52468,Ufinet Panama S.A.,3596.78,1781930684.9989045
http,200.24.130.149,999,Ecuador,EC,Tres Postes,transparent,false,34.34,AS52468,Ufinet Panama S.A.,3981.03,1781930673.9064598
http,205.235.1.39,999,Ecuador,EC,Guayaquil,transparent,false,28.99,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,4232.45,1781930671.2265918
http,205.235.1.36,999,Ecuador,EC,Guayaquil,transparent,false,43.42,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,5293.33,1781930650.877831
http,200.24.130.144,999,Ecuador,EC,Guayaquil,transparent,false,33.13,AS52468,Ufinet Panama S.A.,9657.62,1781930607.0505707
