protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.12.150.244,999,Ecuador,EC,Quininde,transparent,true,53.29,AS271795,Servitelconet Cia. Ltda.,3491.0,1780940086.6427412
http,181.78.194.249,999,Ecuador,EC,Milagro,transparent,true,44.7,AS52468,Ufinet Panama S.A.,2827.09,1780940073.4901416
http,45.229.17.161,999,Ecuador,EC,Baba,transparent,true,5.69,AS271967,Turbonet S.A.,4875.55,1780940063.0940895
http,200.24.153.79,8080,Ecuador,EC,Cuenca,transparent,true,34.3,AS52468,Negocios Y Telefonia Nedetel S.A,12358.1,1780940058.954765
http,45.71.186.211,999,Ecuador,EC,Guayaquil,transparent,true,41.31,AS52468,Ufinet Panama S.A.,1999.89,1780940042.5823388
http,45.229.16.188,999,Ecuador,EC,Vinces,transparent,true,29.17,AS271967,Turbonet S.A.,3640.14,1780940037.075907
http,160.20.165.13,6248,Ecuador,EC,Guayaquil,transparent,true,5.42,AS52468,Ufinet Panama S.A.,1691.58,1780939996.824032
http,177.234.217.236,999,Ecuador,EC,Quito,transparent,true,28.38,AS52468,Ufinet Panama S.A.,4189.4,1780939989.086251
http,45.224.153.245,999,Ecuador,EC,Tonchigüe,transparent,true,16.5,AS52468,Ufinet Panama S.A.,4401.56,1780939922.824078
http,177.234.217.238,999,Ecuador,EC,Quito,transparent,true,23.7,AS52468,Ufinet Panama S.A.,6743.78,1780939911.682473
http,200.24.130.144,999,Ecuador,EC,Guayaquil,transparent,true,34.51,AS52468,Ufinet Panama S.A.,10017.34,1780939940.7330575
http,200.24.152.222,999,Ecuador,EC,Cuenca,transparent,true,46.63,AS52468,Negocios Y Telefonia Nedetel S.A,3153.95,1780939918.8732128
