protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,5.181.23.213,8443,Estonia,EE,Tallinn,elite,true,34.01,,WorkTitans B.V,155.06,1783694382.437346
socks4,5.45.125.201,1080,Estonia,EE,Jõhvi,elite,true,66.51,AS198068,PAGM network,8318.14,1783694377.4257326
socks4,45.67.131.229,1080,Estonia,EE,Jõhvi,elite,true,92.87,AS198068,PAGM network,358.99,1783694376.1861224
http,45.67.131.229,1080,Estonia,EE,Jõhvi,elite,true,91.03,AS198068,PAGM network,284.23,1783694371.506897
socks5,45.67.131.229,1080,Estonia,EE,Jõhvi,elite,true,91.35,AS198068,PAGM network,2844.85,1783694365.5094457
http,5.45.126.165,13215,Estonia,EE,Jõhvi,transparent,false,38.93,AS198068,PAGM network,12962.55,1783694357.4383426
http,5.181.23.213,8443,Estonia,EE,Tallinn,elite,false,14.07,,WorkTitans B.V,154.79,1783694334.7459142
socks5,5.45.125.201,1080,Estonia,EE,Jõhvi,elite,true,63.84,AS198068,PAGM network,2329.47,1783694325.092913
socks5,5.181.23.213,8443,Estonia,EE,Tallinn,elite,true,35.07,,WorkTitans B.V,2596.33,1783694307.6284525
socks4,185.157.111.3,5678,Estonia,EE,Parksepa,elite,true,63.48,AS202652,SkyLive Telecom ldt,1251.43,1783694390.002315
