protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.204.80.111,1976,Egypt,EG,Giza,transparent,false,16.27,AS24835,Vodafone Data - Egypt,2924.26,1780364361.8116753
http,41.128.183.11,1976,Egypt,EG,Cairo,transparent,true,4.39,AS24863,LINKdotNET AS number,5514.88,1780364342.7749298
http,80.75.169.234,8080,Egypt,EG,Ash-Shaykh Zāyid,transparent,true,40.63,AS36992,Etisalat,3121.96,1780364322.8347943
http,84.36.35.206,1981,Egypt,EG,El Shorouk,transparent,false,11.34,AS36992,Etisalat,7469.18,1780364312.46389
http,196.204.80.111,1981,Egypt,EG,Giza,transparent,false,25.76,AS24835,Vodafone Data - Egypt,5080.3,1780364269.5638494
http,41.65.162.72,1981,Egypt,EG,Cairo,transparent,false,6.81,AS36992,Etisalat Misr Mobile BB,14375.0,1780364220.5051599
http,41.33.203.115,1982,Egypt,EG,Cairo,transparent,false,7.5,AS8452,TE Data,12629.85,1780364188.4065356
http,62.241.133.227,1974,Egypt,EG,Cairo,transparent,true,8.84,AS24863,Link Egypt (Link.NET),3378.48,1780364331.9478624
http,197.164.101.10,1981,Egypt,EG,Giza,transparent,false,32.72,AS24863,Link Egypt (Link.NET),800.21,1780364326.9464784
http,213.131.85.26,1981,Egypt,EG,Al Yāsīnīyah,transparent,false,22.13,AS24863,Link Egypt (Link.NET),5446.2,1780364395.818665
