protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.240.232.61,8080,Egypt,EG,Cairo,transparent,true,39.08,AS24863,LINKdotNET AS number,8581.49,1780429730.9279037
http,102.186.191.117,8080,Egypt,EG,Alexandria,transparent,false,39.03,AS24835,Vodafone Data,1315.09,1780429713.8087919
http,62.241.133.227,1971,Egypt,EG,Cairo,transparent,false,7.13,AS24863,Link Egypt (Link.NET),3577.37,1780429698.2058935
http,41.128.72.142,1981,Egypt,EG,Cairo,transparent,false,13.09,AS24863,LINKdotNET AS number,2104.22,1780429694.8487535
http,41.33.219.140,1981,Egypt,EG,Cairo,anonymous,true,11.69,AS8452,TE Data,9575.06,1780429683.9478354
http,41.65.71.133,1981,Egypt,EG,Cairo,transparent,false,38.92,AS36992,Etisalat Misr,8633.87,1780429662.4736917
http,41.33.203.238,1975,Egypt,EG,Cairo,transparent,false,6.84,AS8452,TE Data,3798.42,1780429657.2257004
http,80.75.169.234,8080,Egypt,EG,Ash-Shaykh Zāyid,transparent,false,40.54,AS36992,Etisalat,4889.94,1780429620.7303977
http,41.65.236.37,8080,Egypt,EG,Cairo,transparent,false,37.53,AS36992,Etisalat Misr,3916.88,1780429600.511157
http,62.241.133.227,1974,Egypt,EG,Cairo,transparent,false,11.16,AS24863,Link Egypt (Link.NET),4804.18,1780429764.1158974
http,213.131.85.26,1976,Egypt,EG,Al Yāsīnīyah,transparent,false,15.76,AS24863,Link Egypt (Link.NET),1275.47,1780429783.1631122
