protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,41.65.103.190,8080,Egypt,EG,Cairo,anonymous,true,38.24,AS36992,Etisalat Misr Mobile BB,4113.4,1780804159.2276373
http,41.196.72.198,8080,Egypt,EG,New Cairo,transparent,true,42.49,AS24863,Link Egypt (Link.NET),3216.18,1780804156.894347
http,41.128.72.141,1981,Egypt,EG,Cairo,transparent,true,12.34,AS24863,LINKdotNET AS number,13674.56,1780804150.882684
http,41.65.162.72,1981,Egypt,EG,Cairo,transparent,true,6.95,AS36992,Etisalat Misr Mobile BB,13776.6,1780804095.159919
http,41.65.162.72,1976,Egypt,EG,Cairo,transparent,true,1.73,AS36992,Etisalat Misr Mobile BB,15258.64,1780804091.7319312
http,80.75.169.234,8080,Egypt,EG,Ash-Shaykh Zāyid,transparent,true,40.89,AS36992,Etisalat,9117.81,1780804071.213015
http,41.128.90.53,1976,Egypt,EG,Cairo,transparent,true,90.0,AS24863,LINKdotNET AS number,328.73,1780804020.7211564
http,197.164.101.10,1981,Egypt,EG,Giza,transparent,true,33.09,AS24863,Link Egypt (Link.NET),4374.99,1780804174.1214328
http,196.219.64.252,8080,Egypt,EG,Cairo,transparent,true,11.74,AS8452,TE Data,4241.22,1780804086.3668091
http,213.212.204.207,1976,Egypt,EG,Cairo,transparent,true,6.58,AS24835,Vodafone Data - Egypt,407.57,1780804193.3124774
