protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,82.223.151.29,1080,Spain,ES,Madrid,elite,true,79.4,AS8560,arsys.es,179.97,1782000588.3069708
socks5,185.223.82.217,1080,Spain,ES,Madrid,elite,true,35.85,AS400992,ZhouyiSat Communications,5517.88,1782000573.379012
http,195.189.190.245,9090,Spain,ES,Mácher,transparent,true,18.56,AS207906,Suballocated IT1,10303.93,1782000550.2894874
socks5,82.223.151.29,1080,Spain,ES,Madrid,elite,true,75.15,AS8560,arsys.es,492.08,1782000543.7843297
http,195.114.209.50,80,Spain,ES,Alcobendas,elite,false,65.56,AS57286,Gigas Hosting SL,5120.74,1782000533.5568795
socks5,85.117.248.36,1080,Spain,ES,Olot,elite,true,45.58,AS210086,Connecta 1876 SLU,7524.63,1782000532.9266949
http,185.44.232.30,53281,Spain,ES,Fuengirola,elite,false,4.32,AS200845,"AVATEL TELECOM, SA",6910.31,1782000506.9039261
http,185.223.82.217,1080,Spain,ES,Madrid,elite,false,25.88,AS400992,ZhouyiSat Communications,2237.32,1782000453.0678768
socks5,83.97.79.114,8443,Spain,ES,Madrid,elite,true,34.75,AS62005,BlueVPS OU,13024.97,1782000415.6693406
socks4,65.20.105.241,10001,Spain,ES,Madrid,elite,true,42.99,AS20473,"The Constant Company, LLC",2148.62,1782000599.3091364
