protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,2.139.38.192,3128,Spain,ES,Madrid,transparent,true,29.44,AS3352,RIMA (Red IP Multi Acceso),224.28,1782996890.3855672
http,90.161.186.147,3128,Spain,ES,Puerto de Santiago,transparent,true,8.39,AS12479,UNI2-ABI,8795.58,1782996883.8798053
http,195.189.190.245,9090,Spain,ES,Mácher,transparent,true,19.46,AS207906,Suballocated IT1,428.08,1782996878.3255808
http,217.160.39.73,18080,Spain,ES,Madrid,elite,false,17.38,AS8560,IONOS SE,11831.39,1782996865.400021
http,195.114.209.50,80,Spain,ES,Alcobendas,elite,false,65.98,AS57286,Gigas Hosting SL,6107.02,1782996848.312057
http,81.0.49.104,18359,Spain,ES,Valencia,transparent,false,11.85,AS15704,MasMovil Access Network,8206.37,1782996833.5414379
http,141.227.128.55,3128,Spain,ES,Madrid,transparent,true,33.32,AS16276,OVH SAS,7117.85,1782996822.6866918
http,85.87.182.223,8080,Spain,ES,Aiguamúrcia,transparent,true,27.12,AS15704,Xtra Telecom S.A.,239.33,1782996812.502601
http,188.227.140.181,8080,Spain,ES,A Coruña,transparent,false,8.09,AS56882,Aire Networks Del Mediterraneo SL Unipersonal,7409.15,1782996789.9139671
http,212.231.191.23,80,Spain,ES,Madrid,elite,false,71.76,AS15704,Xtra Telecom S.A,133.87,1782996854.172449
