protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,138.124.112.119,1080,Finland,FI,Helsinki,elite,true,15.26,AS210644,Aeza International LTD,283.6,1780256083.6194286
socks4,193.29.224.20,1080,Finland,FI,Helsinki,elite,true,72.47,AS210644,Aeza International LTD,240.46,1780256082.074129
socks4,144.31.132.182,1080,Finland,FI,Helsinki,elite,true,65.12,AS210546,Chsl ONE LTD,2682.68,1780256081.3450747
socks4,37.27.43.13,30544,Finland,FI,Helsinki,elite,true,39.2,AS24940,Hetzner Online GmbH,1796.06,1780256079.652405
socks4,144.31.226.71,5555,Finland,FI,Helsinki,elite,true,51.42,AS213877,U1 DIGITAL SERVICES LTD,8058.34,1780256076.617789
socks5,46.62.214.3,1080,Finland,FI,Helsinki,elite,true,96.66,AS24940,Hetzner Online GmbH,1306.01,1780256071.4008813
socks4,144.31.152.222,1080,Finland,FI,Helsinki,elite,true,44.85,AS215590,DpkgSoft International Limited,3624.08,1780256070.2385998
socks4,78.17.11.84,1080,Finland,FI,Helsinki,elite,true,53.07,AS213459,Snowd Security OU,12277.76,1780256069.2268212
socks5,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,82.99,AS212706,Livi Hosting LTD,14682.45,1780256065.816724
socks5,144.31.156.154,1080,Finland,FI,Helsinki,elite,true,27.15,AS215439,Play2go International Limited,514.64,1780256065.290658
socks5,78.17.11.84,1080,Finland,FI,Helsinki,elite,true,57.49,AS213459,Snowd Security OU,12137.34,1780256060.650753
socks4,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,88.03,AS212706,Livi Hosting LTD,11094.53,1780256056.0468464
socks5,193.233.199.21,1080,Finland,FI,Helsinki,elite,true,16.91,AS215540,Global Connectivity Solutions LLP,552.33,1780256053.2676573
socks4,46.62.214.3,1080,Finland,FI,Helsinki,elite,true,98.61,AS24940,Hetzner Online GmbH,213.97,1780256052.9401941
socks5,193.221.203.192,1080,Finland,FI,Helsinki,elite,true,94.56,AS41745,Baykov Ilya Sergeevich,347.65,1780256038.410481
socks5,144.31.232.251,1080,Finland,FI,Helsinki,elite,true,100.0,AS213520,Senko Digital LLC,251.8,1780256029.4248898
socks5,109.120.185.119,1080,Finland,FI,Helsinki,elite,true,33.29,AS210644,Aeza International LTD,1242.26,1780256022.754259
socks5,46.8.233.226,1080,Finland,FI,Helsinki,elite,true,25.28,AS56971,CGI GLOBAL LIMITED,9852.23,1780256014.2074006
http,144.31.132.20,3128,Finland,FI,Helsinki,transparent,true,24.38,AS210546,Chsl ONE LTD,137.59,1780255994.537251
http,135.181.154.225,80,Finland,FI,Helsinki,elite,false,81.57,AS24940,Hetzner Online GmbH,296.15,1780255986.9819186
http,83.171.227.44,3128,Finland,FI,Helsinki,elite,false,31.36,,Oy Crea Nova Hosting Solution Ltd,434.73,1780255984.3182087
socks5,109.120.187.233,1080,Finland,FI,Helsinki,elite,true,63.44,AS210644,Aeza International LTD,17458.37,1780255982.3425565
http,138.124.112.119,3128,Finland,FI,Helsinki,elite,false,7.27,AS210644,Aeza International LTD,180.29,1780255976.8404486
socks5,144.31.152.222,1080,Finland,FI,Helsinki,elite,true,35.74,AS215590,DpkgSoft International Limited,2130.23,1780255975.9754384
socks5,144.31.132.182,1080,Finland,FI,Helsinki,elite,true,62.7,AS210546,Chsl ONE LTD,5038.71,1780255975.2998207
socks5,144.31.226.71,5555,Finland,FI,Helsinki,elite,true,53.37,AS213877,U1 DIGITAL SERVICES LTD,2815.8,1780255959.39554
http,185.236.24.140,3128,Finland,FI,Helsinki,elite,false,25.09,AS50053,Anton Levin,12915.19,1780255931.7681088
http,83.171.224.165,8080,Finland,FI,Helsinki,elite,true,88.89,,Oy Crea Nova Hosting Solution Ltd,70.73,1780255930.29984
http,185.230.190.195,3128,Finland,FI,Helsinki,elite,true,68.05,AS212706,Livi Hosting LTD,3593.2,1780255929.9332268
http,144.31.132.196,8080,Finland,FI,Helsinki,elite,true,94.07,AS210546,Chsl ONE LTD,879.75,1780255917.64655
socks4,95.81.93.93,1080,Finland,FI,Helsinki,elite,true,53.67,AS204339,First Server Limited,3161.31,1780256093.360408
http,2.26.97.98,8080,Finland,FI,Helsinki,elite,true,71.68,AS215439,Ace Data Centers II,1511.34,1780256087.470392
socks4,2.26.97.98,8080,Finland,FI,Helsinki,elite,true,83.73,AS215439,Ace Data Centers II,5886.19,1780256083.2896361
socks4,95.216.117.50,9050,Finland,FI,Helsinki,elite,true,41.87,AS24940,Hetzner Online GmbH,488.15,1780256074.8038583
socks5,95.81.93.93,1080,Finland,FI,Helsinki,elite,true,56.64,AS204339,First Server Limited,4538.33,1780256071.8276925
http,2.27.32.117,3128,Finland,FI,Helsinki,transparent,true,31.41,AS215590,DpkgSoft International Limited,10156.62,1780256065.948855
socks5,95.216.117.50,9050,Finland,FI,Helsinki,elite,true,31.75,AS24940,Hetzner Online GmbH,1632.08,1780256060.6495051
http,2.27.50.150,8080,Finland,FI,Helsinki,elite,true,96.17,AS210546,Chsl ONE LTD,160.86,1780256037.9319565
http,135.181.113.216,16379,Finland,FI,Helsinki,elite,true,20.92,AS24940,Hetzner Online GmbH,18369.63,1780256034.5477624
socks5,193.29.224.20,1080,Finland,FI,Helsinki,elite,true,72.92,AS210644,Aeza International LTD,211.37,1780256028.3597403
socks5,2.26.97.98,8080,Finland,FI,Helsinki,elite,true,77.26,AS215439,Ace Data Centers II,5238.11,1780256015.2090352
http,193.29.224.20,3128,Finland,FI,Helsinki,elite,true,65.14,AS210644,Aeza International LTD,122.45,1780255994.2407706
http,2.27.51.203,8080,Finland,FI,Helsinki,elite,true,92.48,AS210546,Chsl ONE LTD,3257.19,1780255959.9932833
socks5,212.192.8.119,1080,Finland,FI,Helsinki,elite,true,55.47,AS57043,Hostkey B.V.,1525.78,1780256087.255534
socks5,213.159.68.227,1080,Finland,FI,Helsinki,elite,true,33.85,AS209847,WorkTitans B.V.,1840.14,1780256014.09742
http,65.108.203.37,28080,Finland,FI,Helsinki,elite,false,9.09,AS24940,Hetzner Online GmbH,520.04,1780256090.4129379
http,65.109.178.201,3128,Finland,FI,Helsinki,transparent,false,33.31,AS24940,Hetzner Online GmbH,13286.44,1780256062.9386737
http,65.108.103.19,80,Finland,FI,Helsinki,elite,false,42.86,AS24940,Hetzner Online GmbH,5816.11,1780256044.6871536
http,65.108.203.35,28080,Finland,FI,Helsinki,elite,true,8.26,AS24940,Hetzner Online GmbH,492.3,1780256041.5018282
http,65.108.203.35,18080,Finland,FI,Helsinki,elite,false,8.62,AS24940,Hetzner Online GmbH,246.83,1780256026.235485
