protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,135.87.39.23,80,Finland,FI,Helsinki,elite,true,99.53,AS8983,Nokia Solutions and Networks Oy,125.69,1783973341.2895699
http,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,80.1,AS209847,WorkTitans B.V.,6459.75,1783973329.8300974
http,46.62.189.77,8888,Finland,FI,Helsinki,elite,true,99.41,AS24940,Hetzner Online GmbH,142.82,1783973327.3445115
http,93.123.30.53,3128,Finland,FI,Helsinki,elite,true,29.94,AS41745,Baykov Ilya Sergeevich,3182.12,1783973320.8472493
http,31.57.27.86,8081,Finland,FI,Helsinki,elite,false,18.38,AS56971,CGI GLOBAL LIMITED,9763.19,1783973320.346855
http,185.230.190.195,3128,Finland,FI,Helsinki,elite,false,68.13,AS212706,Livi Hosting LTD,2602.8,1783973304.8838859
http,185.117.116.200,3128,Finland,FI,Helsinki,elite,false,10.85,AS204339,First Server Limited,1556.8,1783973302.0279198
http,109.120.184.202,1080,Finland,FI,Helsinki,elite,true,88.06,AS210644,Aeza International LTD,4430.21,1783973298.3969011
http,65.108.103.19,80,Finland,FI,Helsinki,elite,false,47.6,AS24940,Hetzner Online GmbH,6271.66,1783973250.229747
http,77.221.158.175,3128,Finland,FI,Helsinki,elite,false,34.79,AS210644,Aeza International LTD,134.34,1783973233.2974422
http,77.91.84.138,8080,Finland,FI,Helsinki,transparent,false,35.08,AS213877,U1 DIGITAL SERVICES LTD,13820.91,1783973219.2641442
