protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,65.108.203.35,18080,Finland,FI,Helsinki,elite,true,8.99,AS24940,Hetzner Online GmbH,264.37,1783301694.2740262
http,157.180.84.115,443,Finland,FI,Helsinki,elite,true,89.46,AS24940,Hetzner Online GmbH,174.55,1783301690.4311104
http,185.230.190.195,3128,Finland,FI,Helsinki,elite,true,68.08,AS212706,Livi Hosting LTD,3823.61,1783301678.5022979
http,109.120.184.202,1080,Finland,FI,Helsinki,elite,true,85.46,AS210644,Aeza International LTD,148.13,1783301666.1818476
http,95.217.23.103,8443,Finland,FI,Helsinki,elite,true,92.37,AS24940,Hetzner Online GmbH,160.55,1783301660.9656794
http,135.181.113.216,16379,Finland,FI,Helsinki,elite,true,26.52,AS24940,Hetzner Online GmbH,7569.06,1783301642.4753304
http,94.156.180.137,3128,Finland,FI,Helsinki,transparent,true,77.64,AS207957,SERV.HOST GROUP LTD,129.97,1783301623.6150432
http,194.180.189.246,3128,Finland,FI,Helsinki,elite,true,17.29,AS57043,Hostkey B.V.,9912.58,1783301614.6998491
http,65.109.65.239,18080,Finland,FI,Helsinki,elite,true,24.11,AS24940,Hetzner Online GmbH,251.86,1783301614.567942
http,45.9.72.34,3128,Finland,FI,Helsinki,elite,true,12.16,AS204339,First Server Limited,3186.22,1783301520.803876
