protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,194.76.172.30,1080,Finland,FI,Helsinki,elite,true,61.44,AS50053,Anton Levin,6345.19,1783017564.4053483
socks5,185.88.101.232,1080,Finland,FI,Helsinki,elite,true,41.32,AS41745,Baykov Ilya Sergeevich,11219.02,1783017558.3646142
socks5,95.216.117.50,9050,Finland,FI,Helsinki,elite,true,28.23,AS24940,Hetzner Online GmbH,7167.8,1783017553.3665226
socks5,193.221.203.192,1080,Finland,FI,Helsinki,elite,true,94.95,AS41745,Baykov Ilya Sergeevich,400.87,1783017549.83691
socks5,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,86.77,AS212706,Livi Hosting LTD,5374.55,1783017542.4386609
socks5,193.233.139.106,1080,Finland,FI,Helsinki,elite,true,95.56,AS210644,Aeza International LTD,248.65,1783017530.3004942
socks5,46.62.192.223,3128,Finland,FI,Helsinki,elite,true,18.91,AS24940,Hetzner Online GmbH,1116.77,1783017490.9062405
socks5,157.180.84.115,443,Finland,FI,Helsinki,elite,true,91.32,AS24940,Hetzner Online GmbH,3354.38,1783017481.464266
socks5,194.76.172.30,1081,Finland,FI,Helsinki,elite,true,66.21,AS50053,Anton Levin,5332.63,1783017479.2108426
socks5,193.221.203.14,1080,Finland,FI,Helsinki,elite,true,33.56,AS41745,Baykov Ilya Sergeevich,4201.85,1783017472.7619872
socks5,213.155.11.237,1080,Finland,FI,Helsinki,elite,true,43.34,AS50053,Anton Levin,254.36,1783017471.277594
