protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,62.133.62.207,1082,France,FR,Paris,elite,true,80.24,AS215540,Global Connectivity Solutions LLP,40.71,1781153951.2357295
socks4,158.178.198.31,1080,France,FR,Paris,elite,true,97.43,AS31898,Oracle Corporation,54.98,1781153950.1611392
http,195.25.20.155,3128,France,FR,Saint-Martin-du-Vieux-Bellême,anonymous,true,73.0,AS3215,Orange Business Services,357.85,1781153948.5120263
socks4,62.133.62.12,1082,France,FR,Paris,elite,true,87.88,AS215540,Global Connectivity Solutions LLP,38.83,1781153948.5086775
socks4,62.133.62.184,1081,France,FR,Paris,elite,true,83.39,AS215540,Global Connectivity Solutions LLP,43.5,1781153944.4576051
socks4,62.133.62.17,1082,France,FR,Paris,elite,true,79.85,AS215540,Global Connectivity Solutions LLP,7100.71,1781153944.3670225
http,62.133.62.184,1082,France,FR,Paris,elite,true,80.31,AS215540,Global Connectivity Solutions LLP,3208.76,1781153944.345925
socks5,176.142.245.127,9050,France,FR,Montpellier,elite,true,26.15,AS5410,BOUYGUES Telecom,5048.37,1781153944.0116782
socks4,62.133.62.12,1081,France,FR,Paris,elite,true,87.22,AS215540,Global Connectivity Solutions LLP,39.19,1781153943.426901
socks4,62.133.62.3,1081,France,FR,Paris,elite,true,83.55,AS215540,Global Connectivity Solutions LLP,3093.29,1781153942.869239
socks4,77.221.152.210,36219,France,FR,Paris,elite,true,37.37,AS210644,Aeza International LTD,823.51,1781153942.5480938
socks4,62.133.62.207,1081,France,FR,Paris,elite,true,81.15,AS215540,Global Connectivity Solutions LLP,3143.15,1781153940.8412845
socks4,37.44.238.2,57167,France,FR,Paris,elite,true,10.96,AS34534,FBW NETWORKS SAS,2466.69,1781153939.9146466
socks4,161.97.129.202,9060,France,FR,Lauterbourg,elite,true,11.54,AS51167,Contabo GmbH,6238.15,1781153939.8186908
socks4,91.134.68.85,9050,France,FR,Wattrelos,elite,true,33.39,AS16276,OVH SAS,14004.11,1781153936.9121048
socks4,62.133.62.249,1082,France,FR,Paris,elite,true,79.36,AS215540,Global Connectivity Solutions LLP,5203.29,1781153935.351211
socks4,37.44.238.2,60796,France,FR,Paris,elite,true,11.96,AS34534,FBW NETWORKS SAS,9486.52,1781153935.310069
socks4,62.133.62.3,1082,France,FR,Paris,elite,true,84.12,AS215540,Global Connectivity Solutions LLP,14281.23,1781153935.266371
http,37.187.109.70,10111,France,FR,Roubaix,transparent,true,33.56,AS16276,OVH SAS,4329.78,1781153933.309392
socks5,62.133.62.17,1081,France,FR,Paris,elite,true,78.98,AS215540,Global Connectivity Solutions LLP,7381.53,1781153932.5321813
http,62.133.62.17,1081,France,FR,Paris,elite,true,78.53,AS215540,Global Connectivity Solutions LLP,45.13,1781153932.2295182
socks4,37.44.238.2,52611,France,FR,Paris,elite,true,11.67,AS34534,FBW NETWORKS SAS,1470.5,1781153931.3429592
socks4,62.133.62.184,1082,France,FR,Paris,elite,true,83.37,AS215540,Global Connectivity Solutions LLP,3113.84,1781153929.7813544
socks4,158.220.127.135,9050,France,FR,Lauterbourg,elite,true,46.32,AS51167,Contabo GmbH,13618.3,1781153929.3891282
http,62.133.62.3,1082,France,FR,Paris,elite,true,82.17,AS215540,Global Connectivity Solutions LLP,4844.26,1781153928.34216
socks4,45.95.233.237,1082,France,FR,Paris,elite,true,96.6,AS215540,Global Connectivity Solutions LLP,38.94,1781153926.8572114
http,62.133.62.207,1081,France,FR,Paris,elite,true,77.79,AS215540,Global Connectivity Solutions LLP,8235.13,1781153926.547856
socks4,37.16.20.163,1080,France,FR,Paris,elite,true,20.11,AS40509,"Fly.io, Inc.",10566.56,1781153925.375505
http,163.172.167.48,80,France,FR,Paris,elite,false,39.12,AS12876,Scaleway SAS,9958.45,1781153924.3812416
socks5,62.133.62.231,1081,France,FR,Paris,elite,true,77.03,AS215540,Global Connectivity Solutions LLP,13125.11,1781153920.9933634
socks4,158.220.123.145,9055,France,FR,Lauterbourg,elite,true,44.84,AS51167,Contabo GmbH,5550.79,1781153920.2949321
http,93.127.163.52,80,France,FR,Paris,elite,false,30.27,AS47583,Hostinger International Limited,3907.28,1781153919.4950814
http,5.250.181.197,3128,France,FR,Paris,transparent,false,38.78,AS8560,IONOS SE,11482.09,1781153917.3792894
http,62.133.62.17,1082,France,FR,Paris,elite,true,76.92,AS215540,Global Connectivity Solutions LLP,3063.92,1781153915.6428607
http,62.133.62.3,1081,France,FR,Paris,elite,false,82.89,AS215540,Global Connectivity Solutions LLP,70.61,1781153914.2509935
http,45.92.108.112,80,France,FR,Marseille,elite,false,68.59,AS204818,Hosteur SAS,9265.54,1781153913.509747
socks5,37.44.238.2,52611,France,FR,Paris,elite,true,36.44,AS34534,FBW NETWORKS SAS,1608.59,1781153913.3815444
http,173.212.245.136,8888,France,FR,Lauterbourg,elite,true,87.22,AS51167,Contabo GmbH,8860.14,1781153912.78944
http,163.172.53.142,80,France,FR,Paris,elite,false,89.51,AS12876,Scaleway SAS,1049.87,1781153912.0490904
http,51.159.66.158,3128,France,FR,Paris,transparent,false,11.47,AS12876,SCALEWAY,8725.85,1781153909.3954973
http,185.41.152.110,3128,France,FR,Valenciennes,elite,false,21.81,AS197922,global,1733.25,1781153907.996554
socks4,62.133.62.249,1081,France,FR,Paris,elite,true,78.88,AS215540,Global Connectivity Solutions LLP,154.01,1781153904.4262927
http,40.89.145.14,80,France,FR,Paris,elite,false,97.69,AS8075,Microsoft Corporation,138.67,1781153901.210757
socks4,62.133.62.231,1082,France,FR,Paris,elite,true,78.41,AS215540,Global Connectivity Solutions LLP,39.32,1781153901.1064563
http,62.133.62.231,1082,France,FR,Paris,elite,true,75.55,AS215540,Global Connectivity Solutions LLP,8062.74,1781153897.4369168
http,62.133.62.249,1081,France,FR,Paris,elite,false,74.68,AS215540,Global Connectivity Solutions LLP,115.81,1781153895.7500854
socks5,62.133.62.249,1081,France,FR,Paris,elite,true,75.94,AS215540,Global Connectivity Solutions LLP,208.5,1781153895.7419846
http,62.133.62.184,1081,France,FR,Paris,elite,true,80.44,AS215540,Global Connectivity Solutions LLP,3797.66,1781153895.0759654
http,62.133.62.187,1082,France,FR,Paris,elite,false,73.62,AS215540,Global Connectivity Solutions LLP,7308.11,1781153892.9278722
socks5,62.133.62.184,1081,France,FR,Paris,elite,true,80.73,AS215540,Global Connectivity Solutions LLP,8307.51,1781153891.9573643
socks5,37.44.238.2,57167,France,FR,Paris,elite,true,32.71,AS34534,FBW NETWORKS SAS,5281.12,1781153891.3841457
socks5,62.133.62.249,1082,France,FR,Paris,elite,true,76.87,AS215540,Global Connectivity Solutions LLP,135.11,1781153889.153915
socks5,62.133.62.231,1082,France,FR,Paris,elite,true,75.24,AS215540,Global Connectivity Solutions LLP,117.18,1781153888.5700815
http,62.133.62.249,1082,France,FR,Paris,elite,false,74.07,AS215540,Global Connectivity Solutions LLP,1078.99,1781153888.4878936
http,45.95.233.237,1082,France,FR,Paris,elite,true,95.42,AS215540,Global Connectivity Solutions LLP,43.3,1781153885.8904455
socks5,62.133.62.184,1082,France,FR,Paris,elite,true,80.7,AS215540,Global Connectivity Solutions LLP,9332.1,1781153883.326657
http,173.212.246.157,3128,France,FR,Lauterbourg,transparent,true,39.37,AS51167,Contabo GmbH,13221.03,1781153880.445081
http,62.133.62.207,1082,France,FR,Paris,elite,true,76.74,AS215540,Global Connectivity Solutions LLP,56.69,1781153877.7759025
socks5,217.60.63.215,1080,France,FR,Paris,elite,true,33.22,AS56971,CGI GLOBAL LIMITED,323.59,1781153876.395434
http,217.182.195.221,30003,France,FR,Roubaix,elite,true,34.88,AS16276,OVH SAS,13849.6,1781153871.462531
socks5,161.97.129.202,9060,France,FR,Lauterbourg,elite,true,36.13,AS51167,Contabo GmbH,13778.86,1781153868.8535733
socks5,144.91.82.219,9050,France,FR,Lauterbourg,elite,true,38.91,AS51167,Contabo GmbH,10739.99,1781153861.807995
http,62.133.62.187,1081,France,FR,Paris,elite,false,75.07,AS215540,Global Connectivity Solutions LLP,5130.21,1781153861.3799255
socks5,62.133.62.17,1082,France,FR,Paris,elite,true,77.05,AS215540,Global Connectivity Solutions LLP,3562.95,1781153858.2615097
socks5,37.16.20.163,1080,France,FR,Paris,elite,true,10.17,AS40509,"Fly.io, Inc.",11489.54,1781153855.1719482
socks5,158.178.198.31,1080,France,FR,Paris,elite,true,94.41,AS31898,Oracle Corporation,1127.69,1781153847.3713238
http,202.133.88.173,80,France,FR,Paris,elite,false,71.34,AS212552,BitCommand LLC,4858.62,1781153843.4578328
socks5,62.133.62.12,1082,France,FR,Paris,elite,true,86.28,AS215540,Global Connectivity Solutions LLP,241.19,1781153837.7128806
socks5,62.133.62.12,1081,France,FR,Paris,elite,true,83.43,AS215540,Global Connectivity Solutions LLP,1152.78,1781153835.981051
http,31.220.78.244,80,France,FR,Lauterbourg,elite,false,27.29,AS51167,Contabo GmbH,3795.04,1781153832.3633766
socks5,62.133.62.3,1081,France,FR,Paris,elite,true,82.04,AS215540,Global Connectivity Solutions LLP,1075.74,1781153824.9146683
socks5,91.134.68.85,9050,France,FR,Wattrelos,elite,true,25.84,AS16276,OVH SAS,15556.69,1781153821.9793139
socks5,77.221.152.210,36219,France,FR,Paris,elite,true,28.61,AS210644,Aeza International LTD,4494.55,1781153813.7947195
socks5,45.95.233.237,1082,France,FR,Paris,elite,true,93.9,AS215540,Global Connectivity Solutions LLP,6260.06,1781153809.9092486
socks5,161.97.106.223,9050,France,FR,Lauterbourg,elite,true,23.26,AS51167,Contabo GmbH,20958.35,1781153783.0715117
socks5,158.220.123.145,9055,France,FR,Lauterbourg,elite,true,44.77,AS51167,Contabo GmbH,8786.54,1781153764.8932922
socks5,213.199.47.140,1080,France,FR,Lauterbourg,elite,true,100.0,AS51167,Contabo GmbH,26.82,1781153993.691772
http,212.47.232.28,80,France,FR,Paris,elite,false,70.13,AS12876,Scaleway SAS,1756.7,1781153982.200275
http,207.180.254.198,8080,France,FR,Lauterbourg,elite,false,44.34,AS51167,Contabo GmbH,4383.57,1781153966.1488087
