protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,217.182.195.221,30000,France,FR,Roubaix,elite,true,48.15,AS16276,OVH SAS,251.39,1782272098.4543755
http,163.172.53.142,80,France,FR,Paris,elite,false,89.74,AS12876,Scaleway SAS,2628.92,1782272090.9350524
http,40.89.145.14,80,France,FR,Paris,elite,false,97.82,AS8075,Microsoft Corporation,82.61,1782272086.3074112
http,62.133.62.249,1081,France,FR,Paris,elite,true,65.08,AS215540,Global Connectivity Solutions LLP,6157.9,1782272084.86789
http,163.172.167.48,80,France,FR,Paris,elite,false,41.03,AS12876,Scaleway SAS,92.78,1782272083.5762312
http,93.127.163.52,80,France,FR,Paris,elite,false,32.53,AS47583,Hostinger International Limited,2358.19,1782272079.1209571
http,202.133.88.173,80,France,FR,Paris,elite,false,73.34,AS212552,BitCommand LLC,183.66,1782272075.2042427
http,51.159.156.201,3128,France,FR,Paris,transparent,false,30.46,AS12876,SCALEWAY,5271.46,1782272074.4932568
http,62.133.62.187,1081,France,FR,Paris,elite,true,64.52,AS215540,Global Connectivity Solutions LLP,9053.76,1782272072.5670974
http,62.133.62.184,1082,France,FR,Paris,elite,true,64.71,AS215540,Global Connectivity Solutions LLP,1080.27,1782272071.2548883
http,37.59.110.73,80,France,FR,Roubaix,elite,true,9.16,AS16276,OVH SAS,14877.35,1782272062.4167056
http,173.212.245.136,8888,France,FR,Lauterbourg,elite,true,88.13,AS51167,Contabo GmbH,7177.42,1782272062.3196788
http,130.49.218.108,1080,France,FR,Paris,elite,true,70.24,AS215540,Global Connectivity Solutions LLP,4539.16,1782272054.187848
http,62.133.62.187,1082,France,FR,Paris,elite,true,64.48,AS215540,Global Connectivity Solutions LLP,20422.19,1782272052.5326211
http,91.230.110.6,443,France,FR,Lauterbourg,elite,true,13.28,AS51167,Contabo GmbH,2427.7,1782272050.4032276
http,173.212.246.157,3128,France,FR,Lauterbourg,transparent,true,41.6,AS51167,Contabo GmbH,5758.52,1782272050.359489
http,37.60.237.110,30001,France,FR,Lauterbourg,elite,true,18.02,AS51167,Contabo GmbH,6729.64,1782272048.3386505
http,62.133.62.207,1081,France,FR,Paris,elite,true,66.61,AS215540,Global Connectivity Solutions LLP,7211.71,1782272047.4246805
http,144.91.111.48,3129,France,FR,Lauterbourg,elite,true,21.28,AS51167,Contabo GmbH,12899.92,1782272045.432116
http,62.133.62.184,1081,France,FR,Paris,elite,false,64.03,AS215540,Global Connectivity Solutions LLP,11428.37,1782272045.354872
http,45.13.116.193,21537,France,FR,Mathay,elite,true,23.54,AS47484,ABJP,12846.49,1782272042.2398791
http,188.165.199.207,80,France,FR,Roubaix,elite,false,46.37,AS16276,OVH SAS,84.21,1782272041.651604
http,62.133.62.3,1082,France,FR,Paris,elite,false,67.26,AS215540,Global Connectivity Solutions LLP,9590.01,1782272040.6021197
http,92.205.186.129,1080,France,FR,Strasbourg,elite,true,80.84,AS21499,Host Europe GmbH,36.54,1782272040.4876094
http,185.182.187.49,3128,France,FR,Lauterbourg,transparent,false,8.31,AS51167,Contabo GmbH,3683.06,1782272040.0151396
http,5.189.161.47,3128,France,FR,Lauterbourg,transparent,false,14.67,AS51167,Contabo GmbH,17426.21,1782272036.3983529
http,152.228.145.27,8080,France,FR,Paris,transparent,true,44.97,AS16276,OVH SAS,18188.96,1782272035.6543398
http,62.133.62.17,1081,France,FR,Paris,elite,false,64.16,AS215540,Global Connectivity Solutions LLP,62.65,1782272034.200701
http,31.220.78.244,80,France,FR,Lauterbourg,elite,false,28.75,AS51167,Contabo GmbH,4307.03,1782272026.865276
http,62.133.62.231,1081,France,FR,Paris,elite,true,63.97,AS215540,Global Connectivity Solutions LLP,3087.14,1782272025.1083515
http,45.95.233.237,1082,France,FR,Paris,elite,true,63.98,AS215540,Global Connectivity Solutions LLP,1828.12,1782272018.6375482
http,5.250.181.197,3128,France,FR,Paris,transparent,true,40.07,AS8560,IONOS SE,7886.95,1782272011.7092793
http,62.133.62.207,1082,France,FR,Paris,elite,true,65.92,AS215540,Global Connectivity Solutions LLP,4588.72,1782272009.5352523
http,144.91.114.199,3129,France,FR,Lauterbourg,elite,false,24.0,AS51167,Contabo GmbH,14728.11,1782271982.985691
http,217.182.195.221,30004,France,FR,Roubaix,elite,false,49.44,AS16276,OVH SAS,11859.49,1782271971.7433336
http,144.91.102.48,3128,France,FR,Lauterbourg,elite,false,33.48,AS51167,Contabo GmbH,21383.43,1782271966.9602947
http,87.106.120.212,3128,France,FR,Paris,transparent,false,38.92,AS8560,IONOS SE,13778.59,1782271955.4764454
http,161.97.131.23,8899,France,FR,Lauterbourg,anonymous,true,18.77,AS51167,Contabo GmbH,10839.5,1782272083.313294
http,62.84.181.67,9090,France,FR,Lauterbourg,elite,true,42.17,AS51167,Contabo GmbH,25.97,1782272075.5049675
http,62.133.62.231,1082,France,FR,Paris,elite,false,63.97,AS215540,Global Connectivity Solutions LLP,5660.78,1782272068.3080323
http,62.171.168.211,3128,France,FR,Lauterbourg,transparent,true,20.44,AS51167,Contabo GmbH,19611.28,1782272067.8743892
http,62.133.62.249,1082,France,FR,Paris,elite,false,65.63,AS215540,Global Connectivity Solutions LLP,1111.53,1782271968.642629
http,212.47.232.28,80,France,FR,Paris,elite,false,71.55,AS12876,Scaleway SAS,126.28,1782272024.6097927
