protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,195.25.20.155,3128,France,FR,Saint-Martin-du-Vieux-Bellême,anonymous,true,56.2,AS3215,Orange Business Services,86.07,1780351192.368974
http,37.16.9.4,3128,France,FR,Paris,anonymous,true,48.91,AS40509,"Fly.io, Inc.",4141.75,1780351184.7589123
http,51.159.156.201,3128,France,FR,Paris,transparent,true,30.35,AS12876,SCALEWAY,16698.9,1780351168.3798914
http,37.187.109.70,10111,France,FR,Roubaix,transparent,true,32.35,AS16276,OVH SAS,12165.31,1780351155.090474
http,185.234.64.63,1081,France,FR,Paris,elite,true,22.03,AS209847,WorkTitans B.V.,140.16,1780351151.254471
http,94.131.118.39,1081,France,FR,Paris,elite,true,32.02,AS209847,WorkTitans B.V.,4802.12,1780351136.6773994
http,173.212.245.136,8888,France,FR,Lauterbourg,elite,true,84.7,AS51167,Contabo GmbH,6547.51,1780351134.6635382
http,173.212.246.157,3128,France,FR,Lauterbourg,transparent,true,37.35,AS51167,Contabo GmbH,13531.83,1780351130.519995
http,38.242.212.16,3128,France,FR,Lauterbourg,transparent,true,15.78,AS51167,Contabo GmbH,3820.06,1780351129.6543925
http,185.234.64.62,1082,France,FR,Paris,elite,true,21.99,AS209847,WorkTitans B.V.,13283.91,1780351124.665231
http,185.234.64.65,1081,France,FR,Paris,elite,true,27.61,AS209847,WorkTitans B.V.,12346.86,1780351120.5177975
http,86.104.74.110,1081,France,FR,Paris,elite,true,39.4,AS209847,WorkTitans B.V.,11367.56,1780351088.2693877
http,185.234.64.63,1082,France,FR,Paris,elite,true,21.9,AS209847,WorkTitans B.V.,3255.7,1780351086.7847455
http,91.230.110.6,443,France,FR,Lauterbourg,elite,true,12.5,AS51167,Contabo GmbH,7412.4,1780351058.219935
http,173.249.50.95,3128,France,FR,Lauterbourg,transparent,true,11.2,AS51167,Contabo GmbH,19747.78,1780351034.2671375
http,94.131.118.39,1082,France,FR,Paris,elite,true,30.16,AS209847,WorkTitans B.V.,1625.06,1780351002.7833369
