protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,62.133.62.184,1082,France,FR,Paris,elite,true,66.76,AS215540,Global Connectivity Solutions LLP,1074.28,1783895351.2893438
socks4,5.189.153.6,10016,France,FR,Lauterbourg,elite,true,17.16,AS51167,Contabo GmbH,4294.46,1783895350.6573255
socks4,45.95.233.237,1081,France,FR,Paris,elite,true,66.07,AS215540,Global Connectivity Solutions LLP,65.91,1783895347.9758663
socks4,62.133.62.17,1081,France,FR,Paris,elite,true,66.16,AS215540,Global Connectivity Solutions LLP,6190.62,1783895346.5814497
socks4,62.133.62.12,1081,France,FR,Paris,elite,true,66.13,AS215540,Global Connectivity Solutions LLP,1051.86,1783895342.535928
socks4,45.95.233.237,1082,France,FR,Paris,elite,true,66.47,AS215540,Global Connectivity Solutions LLP,3079.96,1783895339.8756099
socks4,77.221.152.210,36219,France,FR,Paris,elite,true,35.85,AS210644,Aeza International LTD,7806.71,1783895328.3537643
socks4,38.242.156.163,9050,France,FR,Lauterbourg,elite,true,20.6,AS51167,Contabo GmbH,13152.21,1783895327.4558415
socks4,144.91.82.219,9050,France,FR,Lauterbourg,elite,true,32.37,AS51167,Contabo GmbH,13137.56,1783895327.4301019
socks4,130.49.218.166,1081,France,FR,Paris,elite,true,82.44,AS215540,Global Connectivity Solutions LLP,49.49,1783895326.9538429
socks4,31.220.81.59,9050,France,FR,Lauterbourg,elite,true,32.51,AS51167,OWS,6039.91,1783895325.377357
socks4,109.199.96.116,9050,France,FR,Lauterbourg,elite,true,30.75,AS51167,Contabo GmbH,1609.02,1783895318.5986528
socks4,37.44.238.2,52611,France,FR,Paris,elite,true,14.82,AS34534,FBW NETWORKS SAS,3635.06,1783895316.825377
socks4,151.80.33.14,9050,France,FR,Roubaix,elite,true,30.82,AS16276,OVH SAS,8567.26,1783895314.4214354
socks4,5.189.153.6,10080,France,FR,Lauterbourg,elite,true,16.81,AS51167,Contabo GmbH,4845.69,1783895297.91356
socks4,62.133.62.207,1082,France,FR,Paris,elite,true,69.05,AS215540,Global Connectivity Solutions LLP,41.09,1783895405.0457146
socks4,130.49.218.166,1082,France,FR,Paris,elite,true,82.43,AS215540,Global Connectivity Solutions LLP,44.23,1783895403.3228807
socks4,62.133.62.17,1082,France,FR,Paris,elite,true,66.1,AS215540,Global Connectivity Solutions LLP,41.39,1783895399.42185
socks4,62.133.62.231,1081,France,FR,Paris,elite,true,67.93,AS215540,Global Connectivity Solutions LLP,1054.12,1783895398.764379
socks4,130.49.218.165,1082,France,FR,Paris,elite,true,76.23,AS215540,Global Connectivity Solutions LLP,45.6,1783895398.094444
socks4,62.133.62.249,1082,France,FR,Paris,elite,true,67.88,AS215540,Global Connectivity Solutions LLP,1051.12,1783895397.3836198
socks4,62.133.62.3,1081,France,FR,Paris,elite,true,69.23,AS215540,Global Connectivity Solutions LLP,40.08,1783895394.61257
socks4,161.97.107.63,9050,France,FR,Lauterbourg,elite,true,37.49,AS51167,Contabo GmbH,9561.14,1783895394.5052965
socks4,92.205.186.129,1080,France,FR,Strasbourg,elite,true,83.13,AS21499,Host Europe GmbH,1814.8,1783895393.7850673
socks4,130.49.218.165,1081,France,FR,Paris,elite,true,76.93,AS215540,Global Connectivity Solutions LLP,10283.22,1783895389.5976465
socks4,91.209.71.84,9117,France,FR,Paris,elite,true,80.94,AS212815,Dyjix SAS,4251.13,1783895388.753175
socks4,62.133.62.3,1082,France,FR,Paris,elite,true,69.31,AS215540,Global Connectivity Solutions LLP,4123.54,1783895387.3399115
socks4,62.133.62.249,1081,France,FR,Paris,elite,true,67.66,AS215540,Global Connectivity Solutions LLP,5167.39,1783895386.6529548
socks4,62.133.62.12,1082,France,FR,Paris,elite,true,66.28,AS215540,Global Connectivity Solutions LLP,36.99,1783895369.207245
socks4,161.97.104.161,9050,France,FR,Lauterbourg,elite,true,30.69,AS51167,Contabo GmbH,14634.69,1783895356.3177538
socks4,161.97.95.124,9050,France,FR,Lauterbourg,elite,true,31.81,AS51167,Contabo GmbH,15753.95,1783895330.5133233
