protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,206.123.156.209,18409,United Kingdom,GB,City of London,elite,true,73.33,AS213790,Limited Network LTD,1980.8,1781092198.4289339
socks5,206.123.156.218,30001,United Kingdom,GB,City of London,elite,true,10.65,AS213790,Limited Network LTD,2433.22,1781092197.595053
socks5,206.123.156.213,26442,United Kingdom,GB,City of London,elite,true,9.43,AS213790,Limited Network LTD,1000.31,1781092197.3119206
socks5,206.123.156.211,8003,United Kingdom,GB,City of London,elite,true,28.64,AS213790,Limited Network LTD,1845.38,1781092197.1318352
socks5,206.123.156.210,46409,United Kingdom,GB,City of London,elite,true,9.57,AS213790,Limited Network LTD,490.77,1781092196.4030247
socks5,206.123.156.211,4768,United Kingdom,GB,City of London,elite,true,17.59,AS213790,Limited Network LTD,4395.51,1781092196.3758698
socks5,206.123.156.211,9738,United Kingdom,GB,City of London,elite,true,8.25,AS213790,Limited Network LTD,4650.14,1781092195.4458773
socks5,206.123.156.209,6796,United Kingdom,GB,City of London,elite,true,13.38,AS213790,Limited Network LTD,2668.24,1781092193.4429548
socks5,206.123.156.209,27205,United Kingdom,GB,City of London,elite,true,9.18,AS213790,Limited Network LTD,509.53,1781092193.2017992
socks5,206.123.156.210,7497,United Kingdom,GB,City of London,elite,true,17.1,AS213790,Limited Network LTD,9720.44,1781092193.0311337
socks5,206.123.156.218,6526,United Kingdom,GB,City of London,elite,true,21.23,AS213790,Limited Network LTD,4619.36,1781092192.599915
socks5,206.123.156.211,9913,United Kingdom,GB,City of London,elite,true,12.65,AS213790,Limited Network LTD,5174.05,1781092192.0636935
socks5,206.123.156.211,5224,United Kingdom,GB,City of London,elite,true,24.63,AS213790,Limited Network LTD,3632.26,1781092190.4959092
socks5,206.123.156.212,43568,United Kingdom,GB,City of London,elite,true,59.03,AS213790,Limited Network LTD,2887.8,1781092190.1855378
socks5,206.123.156.218,8746,United Kingdom,GB,City of London,elite,true,15.05,AS213790,Limited Network LTD,5095.09,1781092190.0529213
socks5,206.123.156.206,37960,United Kingdom,GB,City of London,elite,true,29.17,AS213790,Limited Network LTD,8691.09,1781092189.8012018
socks5,206.123.156.211,4007,United Kingdom,GB,City of London,elite,true,21.21,AS213790,Limited Network LTD,6355.35,1781092189.7125237
socks5,206.123.156.210,46132,United Kingdom,GB,City of London,elite,true,8.92,AS213790,Limited Network LTD,7518.9,1781092189.3999958
socks5,206.123.156.218,10010,United Kingdom,GB,City of London,elite,true,8.4,AS213790,Limited Network LTD,5180.87,1781092188.0269387
socks5,206.123.156.209,4690,United Kingdom,GB,City of London,elite,true,15.56,AS213790,Limited Network LTD,2774.21,1781092187.8329284
socks5,206.123.156.212,6641,United Kingdom,GB,City of London,elite,true,14.13,AS213790,Limited Network LTD,4496.35,1781092187.4574788
socks4,91.90.121.44,9050,United Kingdom,GB,Stretford,elite,true,34.35,AS9009,M247 Europe SRL,5645.62,1781092187.3305008
socks5,206.123.156.212,5966,United Kingdom,GB,City of London,elite,true,10.77,AS213790,Limited Network LTD,8182.89,1781092187.257124
socks5,206.123.156.211,12736,United Kingdom,GB,City of London,elite,true,5.85,AS213790,Limited Network LTD,5065.25,1781092187.0057006
socks5,206.123.156.211,4332,United Kingdom,GB,City of London,elite,true,25.57,AS213790,Limited Network LTD,12442.4,1781092186.8156586
socks5,206.123.156.210,44335,United Kingdom,GB,City of London,elite,true,13.85,AS213790,Limited Network LTD,6995.45,1781092186.8095894
socks5,206.123.156.213,4009,United Kingdom,GB,City of London,elite,true,23.93,AS213790,Limited Network LTD,6458.85,1781092186.790024
socks5,206.123.156.206,8285,United Kingdom,GB,City of London,elite,true,5.35,AS213790,Limited Network LTD,5243.86,1781092184.8248105
socks5,206.123.156.210,4928,United Kingdom,GB,City of London,elite,true,27.3,AS213790,Limited Network LTD,7388.79,1781092184.5571084
socks5,206.123.156.213,6270,United Kingdom,GB,City of London,elite,true,22.42,AS213790,Limited Network LTD,14180.06,1781092183.644282
socks5,206.123.156.211,5345,United Kingdom,GB,City of London,elite,true,25.42,AS213790,Limited Network LTD,9366.95,1781092183.5282063
socks5,206.123.156.213,8282,United Kingdom,GB,City of London,elite,true,20.14,AS213790,Limited Network LTD,14137.1,1781092183.2008948
socks5,206.123.156.212,4609,United Kingdom,GB,City of London,elite,true,27.98,AS213790,Limited Network LTD,11433.18,1781092182.7589257
socks5,206.123.156.210,45900,United Kingdom,GB,City of London,elite,true,6.74,AS213790,Limited Network LTD,5457.55,1781092182.4679375
socks5,206.123.156.218,5196,United Kingdom,GB,City of London,elite,true,11.43,AS213790,Limited Network LTD,8321.13,1781092182.2870817
socks5,206.123.156.210,43941,United Kingdom,GB,City of London,elite,true,12.5,AS213790,Limited Network LTD,10673.85,1781092181.7452488
socks5,206.123.156.213,4071,United Kingdom,GB,City of London,elite,true,30.94,AS213790,Limited Network LTD,12396.44,1781092181.4809835
socks5,206.123.156.218,6334,United Kingdom,GB,City of London,elite,true,6.33,AS213790,Limited Network LTD,11633.57,1781092181.4762414
socks5,206.123.156.209,5949,United Kingdom,GB,City of London,elite,true,13.99,AS213790,Limited Network LTD,8192.81,1781092181.456433
socks5,206.123.156.213,4964,United Kingdom,GB,City of London,elite,true,16.22,AS213790,Limited Network LTD,12489.64,1781092181.151528
socks5,206.123.156.211,11576,United Kingdom,GB,City of London,elite,true,23.53,AS213790,Limited Network LTD,5691.65,1781092179.7250798
socks5,206.123.156.211,7352,United Kingdom,GB,City of London,elite,true,17.72,AS213790,Limited Network LTD,15039.71,1781092179.4128335
socks5,206.123.156.211,12355,United Kingdom,GB,City of London,elite,true,16.07,AS213790,Limited Network LTD,5647.56,1781092178.8991103
socks5,206.123.156.211,4902,United Kingdom,GB,City of London,elite,true,14.51,AS213790,Limited Network LTD,19782.8,1781092178.6859438
socks5,206.123.156.211,8022,United Kingdom,GB,City of London,elite,true,9.83,AS213790,Limited Network LTD,3737.16,1781092177.8542726
socks5,130.162.168.55,1080,United Kingdom,GB,London,elite,true,52.78,AS31898,Oracle Corporation,16799.96,1781092177.7051985
socks5,206.123.156.211,9561,United Kingdom,GB,City of London,elite,true,9.64,AS213790,Limited Network LTD,17544.56,1781092177.5949032
socks5,206.123.156.211,5730,United Kingdom,GB,City of London,elite,true,23.86,AS213790,Limited Network LTD,13329.31,1781092177.5132074
socks5,206.123.156.213,20352,United Kingdom,GB,City of London,elite,true,2.89,AS213790,Limited Network LTD,4478.75,1781092177.212445
socks5,206.123.156.213,8692,United Kingdom,GB,City of London,elite,true,9.37,AS213790,Limited Network LTD,4389.58,1781092177.0541615
socks5,206.123.156.213,6628,United Kingdom,GB,City of London,elite,true,15.04,AS213790,Limited Network LTD,21581.34,1781092176.6533916
socks5,206.123.156.210,43737,United Kingdom,GB,City of London,elite,true,9.07,AS213790,Limited Network LTD,6868.76,1781092176.6088347
socks5,206.123.156.211,5451,United Kingdom,GB,City of London,elite,true,17.35,AS213790,Limited Network LTD,6442.05,1781092176.063413
