protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,82.68.84.73,8888,United Kingdom,GB,Coventry,elite,true,100.0,AS13037,Zen Internet Ltd,1181.9,1783536871.3328674
http,130.49.187.61,1081,United Kingdom,GB,London,elite,true,100.0,AS215540,Global Connectivity Solutions LLP,59.26,1783536839.3851337
http,145.133.83.62,3128,United Kingdom,GB,City of London,elite,true,58.32,AS8075,Koninklijke KPN N.V.,136.03,1783536787.5458639
http,8.211.194.85,9080,United Kingdom,GB,London,elite,false,0.78,AS45102,"Alibaba (US) Technology Co., Ltd.",2076.35,1783536780.0161157
http,8.211.194.85,8008,United Kingdom,GB,London,elite,false,0.81,AS45102,"Alibaba (US) Technology Co., Ltd.",9257.77,1783536774.4825304
http,130.49.187.63,1081,United Kingdom,GB,London,elite,true,100.0,AS215540,Global Connectivity Solutions LLP,99.24,1783536770.3248003
http,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,80.63,AS20860,Iomart Cloud Services Limited,4727.06,1783536761.6095717
http,85.239.60.30,1090,United Kingdom,GB,London,elite,true,70.0,AS9123,"JSC ""TIMEWEB""",207.93,1783536730.8479335
http,104.194.146.9,80,United Kingdom,GB,London,elite,true,69.3,AS198983,FranTech Solutions,63.11,1783536896.8989508
http,212.58.132.5,8888,United Kingdom,GB,London,transparent,true,81.03,AS8757,"NSFOCUS, Inc.",6026.69,1783536832.7935634
