protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,141.147.70.238,3128,United Kingdom,GB,London,transparent,true,73.96,AS31898,Oracle Corporation,76.54,1783699180.6540833
http,193.237.32.73,80,United Kingdom,GB,London,elite,true,30.99,AS5378,Vodafone,7611.29,1783699180.2278821
http,130.49.187.61,1081,United Kingdom,GB,London,elite,true,78.44,AS215540,Global Connectivity Solutions LLP,7296.2,1783699161.8201864
http,23.106.62.99,8118,United Kingdom,GB,London,elite,true,100.0,AS205544,Leaseweb UK Limited,70.35,1783699149.6421611
http,145.133.83.62,3128,United Kingdom,GB,City of London,elite,true,61.34,AS8075,Koninklijke KPN N.V.,451.83,1783699059.822347
http,81.168.119.212,3128,United Kingdom,GB,Maidenhead,transparent,true,66.74,AS20860,Iomart Cloud Services Limited,11833.61,1783699049.220687
http,104.194.146.9,80,United Kingdom,GB,London,elite,true,70.68,AS198983,FranTech Solutions,87.4,1783699169.737879
http,104.194.148.204,80,United Kingdom,GB,London,elite,true,72.82,AS198983,FranTech Solutions,114.71,1783699081.678625
http,104.194.148.188,3128,United Kingdom,GB,London,transparent,true,87.24,AS198983,FranTech Solutions,66.23,1783699078.3206267
http,212.67.219.205,8080,United Kingdom,GB,Leeds,elite,true,71.61,AS20738,Heart Internet limited,744.71,1783699126.4388702
http,212.58.132.5,8888,United Kingdom,GB,London,transparent,true,81.33,AS8757,"NSFOCUS, Inc.",806.57,1783699190.849377
